country,year,loner_lop_transp_lagr
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,281735.9
eu_three,2009,276152.6
eu_three,2010,281954.7
eu_three,2011,287222.7
eu_three,2012,291114.6
eu_three,2013,292111.1
eu_three,2014,296979
eu_three,2015,305877.5
eu_three,2016,317552.6
eu_three,2017,329517.8
eu_three,2018,345219.9
eu_three,2019,358690.9
eu_three,2020,347683.4
eu_three,2021,364440.1
eu_three,2022,395182.1
eu_three,2023,426662.7
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,12079.5
bel,2009,12601.1
bel,2010,12672.3
bel,2011,12834.6
bel,2012,13040.2
bel,2013,13024.1
bel,2014,12966.1
bel,2015,13167.2
bel,2016,13167.3
bel,2017,13635.3
bel,2018,14185.5
bel,2019,14859.2
bel,2020,14670.9
bel,2021,15459.8
bel,2022,16936.7
bel,2023,18218.1
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,807.6
bgr,2009,851.2
bgr,2010,945.4
bgr,2011,996.2
bgr,2012,1002.1
bgr,2013,993.5
bgr,2014,1268.3
bgr,2015,1120.1
bgr,2016,1283
bgr,2017,1411.1
bgr,2018,1488.9
bgr,2019,1647.1
bgr,2020,1622.6
bgr,2021,1737.2
bgr,2022,2016.9
bgr,2023,2201.3
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,4443.4
cze,2009,4119.8
cze,2010,4232.1
cze,2011,4370.8
cze,2012,4230.8
cze,2013,4078.8
cze,2014,3951.8
cze,2015,4227.7
cze,2016,4533.4
cze,2017,5140.6
cze,2018,5728.2
cze,2019,6120.8
cze,2020,5894.5
cze,2021,6388.5
cze,2022,7272.4
cze,2023,7966.8
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,7384.4
dnk,2009,7154.5
dnk,2010,7186.5
dnk,2011,7164.9
dnk,2012,7081.3
dnk,2013,7075.1
dnk,2014,7160.7
dnk,2015,7413.7
dnk,2016,7666.6
dnk,2017,7761.8
dnk,2018,7851.2
dnk,2019,7948.2
dnk,2020,7813.4
dnk,2021,8081.8
dnk,2022,9010.4
dnk,2023,9552.4
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,61679
deu,2009,62011
deu,2010,63546
deu,2011,65912
deu,2012,68900
deu,2013,70663
deu,2014,73633
deu,2015,77123
deu,2016,81945
deu,2017,84277
deu,2018,89632
deu,2019,94127
deu,2020,93463
deu,2021,95893
deu,2022,100592
deu,2023,107834
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,629.5
est,2009,541.2
est,2010,546.6
est,2011,595
est,2012,647.9
est,2013,692
est,2014,741.6
est,2015,769.5
est,2016,791.1
est,2017,831.9
est,2018,875.4
est,2019,928.9
est,2020,905.3
est,2021,926.8
est,2022,1040.8
est,2023,1094.6
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,3764.6
irl,2009,3725.8
irl,2010,3154.3
irl,2011,3072.1
irl,2012,3077.8
irl,2013,3029.4
irl,2014,3015.1
irl,2015,3169.6
irl,2016,3307.7
irl,2017,3435.1
irl,2018,3652.6
irl,2019,4003.2
irl,2020,3757.9
irl,2021,3970.9
irl,2022,4377.4
irl,2023,4801.8
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,4753.2
grc,2009,5066.5
grc,2010,5259.3
grc,2011,5190
grc,2012,4909.4
grc,2013,5082.5
grc,2014,5154.6
grc,2015,5691.4
grc,2016,5945.6
grc,2017,5916.6
grc,2018,6099.4
grc,2019,6352.1
grc,2020,5989.6
grc,2021,6546.6
grc,2022,7078
grc,2023,7331.8
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,25344
esp,2009,24924
esp,2010,25073
esp,2011,24528
esp,2012,23062
esp,2013,21137
esp,2014,21395
esp,2015,22247
esp,2016,22879
esp,2017,24453
esp,2018,25468
esp,2019,27348
esp,2020,27289
esp,2021,28694
esp,2022,32805
esp,2023,35965
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,58311.6
fra,2009,56978.1
fra,2010,58095.8
fra,2011,59122.4
fra,2012,60563.1
fra,2013,60996.1
fra,2014,61431.1
fra,2015,62017.6
fra,2016,63213.5
fra,2017,64493.2
fra,2018,65106.1
fra,2019,64946.5
fra,2020,60027.2
fra,2021,63567.9
fra,2022,68857.5
fra,2023,73004.1
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,1469.1
hrv,2009,1322.7
hrv,2010,1321.9
hrv,2011,1275.3
hrv,2012,1260.6
hrv,2013,1219.8
hrv,2014,1114.5
hrv,2015,1164.1
hrv,2016,1185.2
hrv,2017,1261.2
hrv,2018,1535.8
hrv,2019,1554.4
hrv,2020,1429.8
hrv,2021,1440.8
hrv,2022,1651.9
hrv,2023,1951.5
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,36019.4
ita,2009,35684.6
ita,2010,35984.7
ita,2011,36438.6
ita,2012,35984.3
ita,2013,35932.9
ita,2014,36174.3
ita,2015,37257.4
ita,2016,38272.5
ita,2017,39442.1
ita,2018,40851.6
ita,2019,42236.8
ita,2020,38866
ita,2021,42584.8
ita,2022,45304.7
ita,2023,47915.1
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,410.4
cyp,2009,444
cyp,2010,450.2
cyp,2011,434.8
cyp,2012,434.9
cyp,2013,408.7
cyp,2014,404.6
cyp,2015,374.1
cyp,2016,396.7
cyp,2017,433
cyp,2018,480.8
cyp,2019,501.2
cyp,2020,445
cyp,2021,482.3
cyp,2022,527.3
cyp,2023,551.1
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,1018.7
lva,2009,855
lva,2010,798.4
lva,2011,806.1
lva,2012,922.4
lva,2013,945
lva,2014,1000
lva,2015,1054.4
lva,2016,1102.3
lva,2017,1178.1
lva,2018,1297
lva,2019,1352.2
lva,2020,1302
lva,2021,1338.5
lva,2022,1494
lva,2023,1640.3
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,1038
ltu,2009,907.4
ltu,2010,932.2
ltu,2011,998.1
ltu,2012,1101
ltu,2013,1195.8
ltu,2014,1303.6
ltu,2015,1379.8
ltu,2016,1538.9
ltu,2017,1783.3
ltu,2018,1991.5
ltu,2019,2167.3
ltu,2020,2332.4
ltu,2021,2682.6
ltu,2022,3060.9
ltu,2023,3879.9
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,1344.1
lux,2009,1366.8
lux,2010,1369
lux,2011,1446.9
lux,2012,1442
lux,2013,1474.1
lux,2014,1517.5
lux,2015,1568.2
lux,2016,1617
lux,2017,1709.8
lux,2018,1814.7
lux,2019,1874.8
lux,2020,1989.1
lux,2021,2158.4
lux,2022,2301.3
lux,2023,2403.8
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,3154.7
hun,2009,2774.9
hun,2010,2833.8
hun,2011,3045.8
hun,2012,3012.1
hun,2013,3032.9
hun,2014,3102.9
hun,2015,3201
hun,2016,3399
hun,2017,3703.6
hun,2018,3889.6
hun,2019,3944.7
hun,2020,3920.6
hun,2021,4070.4
hun,2022,4304.8
hun,2023,5108.9
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,161.8
mlt,2009,170.8
mlt,2010,169.9
mlt,2011,179.5
mlt,2012,208.2
mlt,2013,211.5
mlt,2014,216.6
mlt,2015,239.8
mlt,2016,272.9
mlt,2017,287.6
mlt,2018,339.1
mlt,2019,372.8
mlt,2020,335.1
mlt,2021,332.1
mlt,2022,461.9
mlt,2023,437.8
mlt,2024,493
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,16280
nld,2009,16312
nld,2010,16190
nld,2011,16719
nld,2012,16818
nld,2013,16946
nld,2014,16780
nld,2015,17059
nld,2016,17752
nld,2017,18133
nld,2018,19336
nld,2019,20422
nld,2020,20423
nld,2021,21090
nld,2022,22625
nld,2023,24617
nld,2024,
aut,2000,
aut,2001,
aut,2002,
