country,year,loner_lop_utb
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,405736.7
eu_three,2009,417305.6
eu_three,2010,426146.5
eu_three,2011,428532.5
eu_three,2012,431122.6
eu_three,2013,437213.2
eu_three,2014,446570
eu_three,2015,455308.2
eu_three,2016,466448.2
eu_three,2017,481842.1
eu_three,2018,497436.5
eu_three,2019,518073.1
eu_three,2020,526944.2
eu_three,2021,553285.1
eu_three,2022,579033.3
eu_three,2023,614957.9
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,18271.7
bel,2009,18908.7
bel,2010,19586.4
bel,2011,20633.4
bel,2012,21617
bel,2013,22277.1
bel,2014,22623.7
bel,2015,23180.3
bel,2016,23758.7
bel,2017,24799.4
bel,2018,25605.6
bel,2019,26464.5
bel,2020,27276.1
bel,2021,28344.1
bel,2022,30861.8
bel,2023,33347
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,844.4
bgr,2009,908.3
bgr,2010,954.5
bgr,2011,938.7
bgr,2012,973
bgr,2013,1009.5
bgr,2014,1119.9
bgr,2015,1305.1
bgr,2016,1231.6
bgr,2017,1371.2
bgr,2018,1591.5
bgr,2019,1726.4
bgr,2020,2042.1
bgr,2021,2296.2
bgr,2022,2517.6
bgr,2023,2931.7
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,4121.9
cze,2009,4070.4
cze,2010,4251.1
cze,2011,4524.2
cze,2012,4521
cze,2013,4479.6
cze,2014,4342
cze,2015,4507.4
cze,2016,4739.7
cze,2017,5378.8
cze,2018,6312.3
cze,2019,7270
cze,2020,7798.8
cze,2021,8770.9
cze,2022,9683.5
cze,2023,10603.4
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,10273.6
dnk,2009,11026.8
dnk,2010,11485.6
dnk,2011,11543.3
dnk,2012,11817.2
dnk,2013,11814.3
dnk,2014,12510.6
dnk,2015,12824.1
dnk,2016,13007.7
dnk,2017,13013.4
dnk,2018,13253.1
dnk,2019,13433.4
dnk,2020,13426.1
dnk,2021,14036.2
dnk,2022,14443.2
dnk,2023,14861.1
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,80288
deu,2009,84878
deu,2010,87924
deu,2011,90294
deu,2012,92988
deu,2013,96167
deu,2014,100452
deu,2015,102863
deu,2016,106521
deu,2017,110707
deu,2018,115390
deu,2019,121478
deu,2020,126402
deu,2021,130469
deu,2022,135653
deu,2023,140857
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,622.4
est,2009,592.9
est,2010,560.8
est,2011,574.7
est,2012,584.5
est,2013,631.1
est,2014,675.8
est,2015,723.3
est,2016,774.5
est,2017,834.1
est,2018,948.7
est,2019,1051.4
est,2020,1110.4
est,2021,1165
est,2022,1286
est,2023,1552
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,7913.8
irl,2009,8348.3
irl,2010,7939.5
irl,2011,6602.7
irl,2012,6676.1
irl,2013,6611.5
irl,2014,6881.2
irl,2015,7000
irl,2016,7195
irl,2017,7619.6
irl,2018,8072.4
irl,2019,8539.5
irl,2020,8852.2
irl,2021,9441.4
irl,2022,10132.5
irl,2023,10905.2
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,9234.2
grc,2009,9130.4
grc,2010,8602.7
grc,2011,8594.1
grc,2012,8079.1
grc,2013,7610.7
grc,2014,7593.3
grc,2015,7234
grc,2016,7215.8
grc,2017,7253
grc,2018,7332.7
grc,2019,7334.8
grc,2020,7487.9
grc,2021,7574.7
grc,2022,7776.6
grc,2023,7991
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,43141
esp,2009,45969
esp,2010,46235
esp,2011,45223
esp,2012,43590
esp,2013,43607
esp,2014,44193
esp,2015,46120
esp,2016,47544
esp,2017,48560
esp,2018,49903
esp,2019,53395
esp,2020,49433
esp,2021,54134
esp,2022,57728
esp,2023,61393
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,81403.3
fra,2009,82798.5
fra,2010,84474.7
fra,2011,85768.7
fra,2012,86694.3
fra,2013,87961.9
fra,2014,89167.8
fra,2015,90831.3
fra,2016,91829.4
fra,2017,94595.6
fra,2018,95514.3
fra,2019,97022.4
fra,2020,98458.9
fra,2021,101929
fra,2022,106092.9
fra,2023,113014.9
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,1581.5
hrv,2009,1616.1
hrv,2010,1653.3
hrv,2011,1651
hrv,2012,1624.2
hrv,2013,1598.4
hrv,2014,1583.4
hrv,2015,1569.7
hrv,2016,1702.5
hrv,2017,1786.3
hrv,2018,1909.1
hrv,2019,1999
hrv,2020,2034.6
hrv,2021,2259.8
hrv,2022,2444.5
hrv,2023,2850.6
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,57525.9
ita,2009,59274.2
ita,2010,58220.8
ita,2011,56523.6
ita,2012,55645.4
ita,2013,55522.9
ita,2014,55638.5
ita,2015,55385.2
ita,2016,56446.7
ita,2017,57586.4
ita,2018,58593.1
ita,2019,59462.1
ita,2020,59562.1
ita,2021,63989.9
ita,2022,64533.9
ita,2023,65720.8
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,731.5
cyp,2009,801.3
cyp,2010,844.3
cyp,2011,887.1
cyp,2012,904.3
cyp,2013,866.7
cyp,2014,849.4
cyp,2015,846.5
cyp,2016,864.8
cyp,2017,885.7
cyp,2018,943.2
cyp,2019,1028.5
cyp,2020,1071.2
cyp,2021,1111.5
cyp,2022,1186.6
cyp,2023,1237.8
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,1019.3
lva,2009,856.2
lva,2010,685.5
lva,2011,741
lva,2012,775.9
lva,2013,812.7
lva,2014,827.8
lva,2015,895.1
lva,2016,926.7
lva,2017,1011.3
lva,2018,1080.4
lva,2019,1139.7
lva,2020,1187
lva,2021,1276.6
lva,2022,1306.6
lva,2023,1522.4
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,1330.4
ltu,2009,1398.6
ltu,2010,1238.8
ltu,2011,1247.8
ltu,2012,1263.9
ltu,2013,1280.6
ltu,2014,1275.7
ltu,2015,1314.4
ltu,2016,1369.8
ltu,2017,1413.6
ltu,2018,1565.8
ltu,2019,1752.4
ltu,2020,1947
ltu,2021,2128.8
ltu,2022,2500.7
ltu,2023,2895.6
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,1201.2
lux,2009,1294.5
lux,2010,1411.4
lux,2011,1493.3
lux,2012,1599.5
lux,2013,1658.1
lux,2014,1744.1
lux,2015,1815.9
lux,2016,1860.5
lux,2017,1976.6
lux,2018,2137.7
lux,2019,2271.4
lux,2020,2480.8
lux,2021,2613.8
lux,2022,2790.1
lux,2023,3058.8
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,3653.1
hun,2009,3098.8
hun,2010,3114.2
hun,2011,2975.7
hun,2012,2861.4
hun,2013,2643.7
hun,2014,3116.7
hun,2015,3441
hun,2016,3679.6
hun,2017,3868.4
hun,2018,4014.4
hun,2019,4128.8
hun,2020,3955.2
hun,2021,4181
hun,2022,4774
hun,2023,5768
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,259.1
mlt,2009,275.3
mlt,2010,300.1
mlt,2011,311.6
mlt,2012,333.9
mlt,2013,358.6
mlt,2014,381.7
mlt,2015,408.8
mlt,2016,429.3
mlt,2017,459.2
mlt,2018,518.8
mlt,2019,556.2
mlt,2020,584.9
mlt,2021,639.9
mlt,2022,626.1
mlt,2023,670.5
mlt,2024,820
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,21555
nld,2009,22635
nld,2010,23116
nld,2011,23342
nld,2012,23439
nld,2013,23357
nld,2014,23527
nld,2015,23828
nld,2016,24527
nld,2017,25065
nld,2018,26210
nld,2019,27268
nld,2020,29075
nld,2021,30269
nld,2022,33336
nld,2023,36211
nld,2024,
aut,2000,
aut,2001,
aut,2002,
