country,year,loner_lop_vatten
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,39721.2
eu_three,2009,41149.2
eu_three,2010,42819.6
eu_three,2011,44766.4
eu_three,2012,45614.3
eu_three,2013,46401.4
eu_three,2014,47300.5
eu_three,2015,48152.4
eu_three,2016,49568.6
eu_three,2017,51546.3
eu_three,2018,54094.7
eu_three,2019,56601.8
eu_three,2020,56905.2
eu_three,2021,59676.8
eu_three,2022,63627.8
eu_three,2023,63942.4
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1270.5
bel,2009,1623.9
bel,2010,1669.9
bel,2011,1764
bel,2012,1876.9
bel,2013,1927.5
bel,2014,1986.6
bel,2015,1984.1
bel,2016,2022.6
bel,2017,2060.3
bel,2018,2160.4
bel,2019,2196.5
bel,2020,2223.3
bel,2021,2332.4
bel,2022,2535.1
bel,2023,2764.3
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,158.9
bgr,2009,141.4
bgr,2010,187.7
bgr,2011,200.3
bgr,2012,200.8
bgr,2013,207.2
bgr,2014,233.8
bgr,2015,223.1
bgr,2016,233.5
bgr,2017,254.6
bgr,2018,270.9
bgr,2019,299.8
bgr,2020,323
bgr,2021,347.8
bgr,2022,409
bgr,2023,429
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,759.9
cze,2009,766.8
cze,2010,792.4
cze,2011,875.7
cze,2012,875.5
cze,2013,825.6
cze,2014,820.3
cze,2015,841.2
cze,2016,884.6
cze,2017,979.8
cze,2018,1073.7
cze,2019,1124.1
cze,2020,1133.2
cze,2021,1227.1
cze,2022,1373.9
cze,2023,1556.6
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,613.8
dnk,2009,605.4
dnk,2010,588.2
dnk,2011,607.9
dnk,2012,602.1
dnk,2013,563.5
dnk,2014,608.7
dnk,2015,634.1
dnk,2016,658.9
dnk,2017,668.1
dnk,2018,645.2
dnk,2019,682.3
dnk,2020,719.4
dnk,2021,799
dnk,2022,874.4
dnk,2023,956.3
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,9294
deu,2009,9522
deu,2010,9709
deu,2011,10103
deu,2012,10537
deu,2013,10883
deu,2014,11287
deu,2015,11410
deu,2016,11865
deu,2017,12427
deu,2018,13469
deu,2019,14342
deu,2020,14778
deu,2021,15262
deu,2022,16094
deu,2023,17239
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,59.5
est,2009,51.6
est,2010,49.4
est,2011,50.9
est,2012,52.9
est,2013,53.6
est,2014,56.6
est,2015,57.2
est,2016,61.9
est,2017,67.8
est,2018,71.6
est,2019,77.3
est,2020,84.4
est,2021,92.7
est,2022,98.6
est,2023,104.3
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,577.5
irl,2009,626.7
irl,2010,312.3
irl,2011,264.7
irl,2012,265.4
irl,2013,253.9
irl,2014,281.6
irl,2015,319.1
irl,2016,340.1
irl,2017,383.9
irl,2018,418.1
irl,2019,443.6
irl,2020,449.9
irl,2021,495.3
irl,2022,579.4
irl,2023,654.7
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1080.2
grc,2009,1139.2
grc,2010,1108.7
grc,2011,1153.3
grc,2012,965.5
grc,2013,895.4
grc,2014,947.3
grc,2015,869.7
grc,2016,933.9
grc,2017,919.6
grc,2018,925
grc,2019,942.8
grc,2020,943
grc,2021,975.2
grc,2022,1056.4
grc,2023,1078.4
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,4645
esp,2009,4911
esp,2010,5608
esp,2011,5800
esp,2012,5947
esp,2013,5974
esp,2014,5987
esp,2015,6496
esp,2016,6686
esp,2017,6909
esp,2018,7207
esp,2019,7621
esp,2020,7115
esp,2021,7435
esp,2022,8029
esp,2023,8530
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,5716.1
fra,2009,5685.4
fra,2010,6025.1
fra,2011,6240.5
fra,2012,6393.7
fra,2013,6563
fra,2014,6601.3
fra,2015,6686.2
fra,2016,6721.5
fra,2017,6858.2
fra,2018,6863.7
fra,2019,6835.7
fra,2020,6658
fra,2021,7079.2
fra,2022,7373.8
fra,2023,3505.5
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,281.3
hrv,2009,288.3
hrv,2010,326.9
hrv,2011,322.5
hrv,2012,329.6
hrv,2013,347.3
hrv,2014,360.9
hrv,2015,378
hrv,2016,369.5
hrv,2017,385.3
hrv,2018,398.7
hrv,2019,409
hrv,2020,509.4
hrv,2021,550.2
hrv,2022,573
hrv,2023,662.5
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,7089.2
ita,2009,7619.9
ita,2010,7765
ita,2011,8041.5
ita,2012,8161.6
ita,2013,8188.3
ita,2014,8275.7
ita,2015,8440.1
ita,2016,8619.7
ita,2017,8871.5
ita,2018,9205.7
ita,2019,9536.9
ita,2020,9514.2
ita,2021,9964.6
ita,2022,10396.4
ita,2023,10714.4
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,53.6
cyp,2009,56.9
cyp,2010,61.1
cyp,2011,65.1
cyp,2012,70.2
cyp,2013,61.3
cyp,2014,63.2
cyp,2015,62.1
cyp,2016,61.8
cyp,2017,66.1
cyp,2018,73.9
cyp,2019,69.6
cyp,2020,68.2
cyp,2021,74.3
cyp,2022,80
cyp,2023,83.4
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,88.9
lva,2009,76.3
lva,2010,71
lva,2011,68.7
lva,2012,75.1
lva,2013,80
lva,2014,82.5
lva,2015,86.9
lva,2016,96.1
lva,2017,104
lva,2018,113.4
lva,2019,125.5
lva,2020,124.9
lva,2021,117.4
lva,2022,135.4
lva,2023,146.7
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,142.5
ltu,2009,122.2
ltu,2010,127.8
ltu,2011,152.2
ltu,2012,161.2
ltu,2013,171.6
ltu,2014,179.3
ltu,2015,186.1
ltu,2016,197.1
ltu,2017,206
ltu,2018,217.7
ltu,2019,232.1
ltu,2020,241.6
ltu,2021,258.1
ltu,2022,284.9
ltu,2023,313.1
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,137.1
lux,2009,141.9
lux,2010,145.4
lux,2011,149.1
lux,2012,158.4
lux,2013,148
lux,2014,153.1
lux,2015,158.3
lux,2016,159.8
lux,2017,167.5
lux,2018,179.3
lux,2019,187.5
lux,2020,196
lux,2021,208.1
lux,2022,226.5
lux,2023,244.6
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,622.3
hun,2009,563.5
hun,2010,630.3
hun,2011,618.4
hun,2012,612.8
hun,2013,602.4
hun,2014,578.6
hun,2015,591.9
hun,2016,623.9
hun,2017,665.5
hun,2018,704.5
hun,2019,746.9
hun,2020,699.4
hun,2021,672.3
hun,2022,707.6
hun,2023,869.2
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,29.9
mlt,2009,28.6
mlt,2010,27.2
mlt,2011,31
mlt,2012,26.5
mlt,2013,29.3
mlt,2014,30.5
mlt,2015,30.2
mlt,2016,32
mlt,2017,36
mlt,2018,38.6
mlt,2019,41.4
mlt,2020,41.8
mlt,2021,46.1
mlt,2022,47.5
mlt,2023,53.3
mlt,2024,55.7
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1604
nld,2009,1686
nld,2010,1737
nld,2011,1805
nld,2012,1804
nld,2013,1819
nld,2014,1832
nld,2015,1806
nld,2016,1856
nld,2017,1926
nld,2018,2060
nld,2019,2158
nld,2020,2214
nld,2021,2319
nld,2022,2484
nld,2023,2650
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,817.1
aut,2009,840.7
aut,2010,851.4
aut,2011,914
aut,2012,958.6
aut,2013,995.9
aut,2014,1032.1
aut,2015,1051.7
aut,2016,1114.5
aut,2017,1141.6
