country,year,loner_lop_vetenskap
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,40903.3
eu_three,2009,42656.6
eu_three,2010,44313.2
eu_three,2011,46001.5
eu_three,2012,46875.3
eu_three,2013,49505.2
eu_three,2014,51112
eu_three,2015,52412.3
eu_three,2016,53963.6
eu_three,2017,57498.1
eu_three,2018,59723.9
eu_three,2019,62777.4
eu_three,2020,64716.2
eu_three,2021,69137.7
eu_three,2022,74237
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,695.4
bel,2009,711.2
bel,2010,746.3
bel,2011,776.4
bel,2012,783.1
bel,2013,848.7
bel,2014,862.9
bel,2015,903.4
bel,2016,910.5
bel,2017,979.6
bel,2018,1085.4
bel,2019,1176.8
bel,2020,1239.8
bel,2021,1365.2
bel,2022,1572.1
bel,2023,1722.6
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,64.5
bgr,2009,80.7
bgr,2010,81.5
bgr,2011,75.8
bgr,2012,82.3
bgr,2013,90.3
bgr,2014,117.3
bgr,2015,131.9
bgr,2016,120.4
bgr,2017,137.9
bgr,2018,158.3
bgr,2019,182.9
bgr,2020,202.2
bgr,2021,237.5
bgr,2022,284.4
bgr,2023,327.9
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,351.4
cze,2009,352.1
cze,2010,356.9
cze,2011,431.7
cze,2012,458.2
cze,2013,452
cze,2014,472.5
cze,2015,548.1
cze,2016,593.7
cze,2017,630.4
cze,2018,718
cze,2019,741.7
cze,2020,776.3
cze,2021,854.7
cze,2022,984.3
cze,2023,1115.6
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,799.3
dnk,2009,904.1
dnk,2010,996.6
dnk,2011,992.4
dnk,2012,988.6
dnk,2013,1065.9
dnk,2014,1154.4
dnk,2015,1180.4
dnk,2016,1135.2
dnk,2017,1159.3
dnk,2018,1191.1
dnk,2019,1220.5
dnk,2020,1329.9
dnk,2021,1515.2
dnk,2022,1725.6
dnk,2023,1892.1
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,7984
deu,2009,8145
deu,2010,8369
deu,2011,8754
deu,2012,9333
deu,2013,10129
deu,2014,10904
deu,2015,11434
deu,2016,12129
deu,2017,13269
deu,2018,14187
deu,2019,15198
deu,2020,15898
deu,2021,17097
deu,2022,18508
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,61.2
est,2009,62.8
est,2010,76.3
est,2011,83.1
est,2012,91.8
est,2013,99.4
est,2014,102.1
est,2015,101
est,2016,99.9
est,2017,110.4
est,2018,114.5
est,2019,124.6
est,2020,135.4
est,2021,171.5
est,2022,199.3
est,2023,226.6
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,217.5
irl,2009,261.1
irl,2010,246
irl,2011,242.4
irl,2012,238.3
irl,2013,253.4
irl,2014,278.6
irl,2015,348.9
irl,2016,447.8
irl,2017,469.5
irl,2018,469.7
irl,2019,530.2
irl,2020,551.8
irl,2021,641.9
irl,2022,731.7
irl,2023,898
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,350.8
grc,2009,402.4
grc,2010,394.5
grc,2011,294.1
grc,2012,266.1
grc,2013,220
grc,2014,267.2
grc,2015,286.2
grc,2016,285.4
grc,2017,312.2
grc,2018,356.9
grc,2019,386.6
grc,2020,356.5
grc,2021,447.2
grc,2022,474.5
grc,2023,522.5
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,1714
esp,2009,1857
esp,2010,1894
esp,2011,1896
esp,2012,1927
esp,2013,1951
esp,2014,1996
esp,2015,2107
esp,2016,2073
esp,2017,2295
esp,2018,2396
esp,2019,2629
esp,2020,2865
esp,2021,3005
esp,2022,2949
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,15374.1
fra,2009,16601.3
fra,2010,17270.2
fra,2011,18146.7
fra,2012,18075.9
fra,2013,19069.3
fra,2014,19408.2
fra,2015,19713
fra,2016,19886.2
fra,2017,20729.6
fra,2018,20821.3
fra,2019,21365.1
fra,2020,21357
fra,2021,21997.5
fra,2022,23339.8
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,149.7
hrv,2009,136
hrv,2010,134.7
hrv,2011,129.5
hrv,2012,134
hrv,2013,125.9
hrv,2014,130.3
hrv,2015,138.7
hrv,2016,135.3
hrv,2017,137.4
hrv,2018,148.5
hrv,2019,159.3
hrv,2020,171.5
hrv,2021,173.9
hrv,2022,194.1
hrv,2023,216.1
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,5612.5
ita,2009,5727.6
ita,2010,5766.3
ita,2011,5631.5
ita,2012,5594.5
ita,2013,5681
ita,2014,5640.7
ita,2015,5582.7
ita,2016,5869.4
ita,2017,6160.5
ita,2018,6435.9
ita,2019,6721
ita,2020,6746.4
ita,2021,7253.3
ita,2022,7692.2
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,8.9
cyp,2009,9.1
cyp,2010,10.9
cyp,2011,11.2
cyp,2012,10.3
cyp,2013,9.5
cyp,2014,9.7
cyp,2015,9.9
cyp,2016,10
cyp,2017,10.4
cyp,2018,11.7
cyp,2019,15.2
cyp,2020,18.7
cyp,2021,18.2
cyp,2022,18.9
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,11.4
lva,2009,23.9
lva,2010,44.5
lva,2011,48.9
lva,2012,47.5
lva,2013,42.6
lva,2014,44.6
lva,2015,52.5
lva,2016,44.4
lva,2017,52.3
lva,2018,58.5
lva,2019,62.7
lva,2020,68.1
lva,2021,76.5
lva,2022,78.4
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,59.7
ltu,2009,55.5
ltu,2010,37.5
ltu,2011,38.1
ltu,2012,36.8
ltu,2013,38.8
ltu,2014,42.2
ltu,2015,42.2
ltu,2016,47.4
ltu,2017,53.6
ltu,2018,58.8
ltu,2019,67.5
ltu,2020,77.7
ltu,2021,96.2
ltu,2022,116.7
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,322
hun,2009,309.4
hun,2010,371.5
hun,2011,379.4
hun,2012,400.2
hun,2013,440.4
hun,2014,473.9
hun,2015,498.7
hun,2016,551.7
hun,2017,632
hun,2018,699.4
hun,2019,754.9
hun,2020,720
hun,2021,791.6
hun,2022,794.7
hun,2023,904.1
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,0.5
mlt,2009,0.5
mlt,2010,1
mlt,2011,1.5
mlt,2012,1.3
mlt,2013,
mlt,2014,
mlt,2015,7.3
mlt,2016,3.9
mlt,2017,0.9
mlt,2018,1.3
mlt,2019,1.4
mlt,2020,1.7
mlt,2021,3.8
mlt,2022,4.1
mlt,2023,5.9
mlt,2024,7.3
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1827
nld,2009,1980
nld,2010,1916
nld,2011,2034
nld,2012,2016
nld,2013,2087
nld,2014,2362
nld,2015,2436
nld,2016,2553
nld,2017,2750
nld,2018,2848
nld,2019,3017
nld,2020,3279
nld,2021,3555
nld,2022,3848
nld,2023,3995
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,626.9
aut,2009,628.6
aut,2010,667.2
aut,2011,729.4
aut,2012,757.1
aut,2013,871.5
aut,2014,889.9
aut,2015,907.4
aut,2016,979.4
aut,2017,1047.6
aut,2018,1021.8
aut,2019,1090.6
aut,2020,1088.5
aut,2021,1347.3
aut,2022,1530.6
aut,2023,1668.5
aut,2024,
pol,2000,
