country,is--country,name,continent,eu_mem,briics_mem,nato,oecd_mem,g7,sweden
afg,TRUE,Afghanistan,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
alb,TRUE,Albania,europe,not_eu,not_briics,is_nato,not_oecd,not_g7,not_sweden
dza,TRUE,Algeria,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
asm,TRUE,American Samoa,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
and,TRUE,Andorra,europe,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
ago,TRUE,Angola,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
aia,TRUE,Anguilla,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
ata,TRUE,Antarctica,other,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
atg,TRUE,Antigua and Barbuda,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
arg,TRUE,Argentina,s_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
arm,TRUE,Armenia,euro_asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
abw,TRUE,Aruba,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
aus,TRUE,Australia,oceania,not_eu,not_briics,not_nato,is_oecd,not_g7,not_sweden
aus_oc,TRUE,Australian Oceania,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
aut,TRUE,Austria,europe,is_eu,not_briics,not_nato,is_oecd,not_g7,not_sweden
aze,TRUE,Azerbaijan,euro_asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
bhs,TRUE,Bahamas,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
bhr,TRUE,Bahrain,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
bgd,TRUE,Bangladesh,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
brb,TRUE,Barbados,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
blr,TRUE,Belarus,europe,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
bel,TRUE,Belgium,europe,is_eu,not_briics,is_nato,is_oecd,not_g7,not_sweden
bel_lux,TRUE,Belgium and Luxembourg,europe,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
blz,TRUE,Belize,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
ben,TRUE,Benin,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
bmu,TRUE,Bermuda,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
btn,TRUE,Bhutan,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
bol,TRUE,Bolivia,s_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
bes,TRUE,Bonaire Sint Eustatius and Saba,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
bih,TRUE,Bosnia and Herzegovina,europe,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
bwa,TRUE,Botswana,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
bouisl,TRUE,Bouvet Island,other,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
bra,TRUE,Brazil,s_america,not_eu,is_briics,not_nato,not_oecd,not_g7,not_sweden
briics,TRUE,BRIICS economies - Brazil: Russia: India: Indonesia: China and South Africa,other,not_eu,is_briics,not_nato,not_oecd,not_g7,not_sweden
iot,TRUE,British Indian Ocean Territory,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
vgb,TRUE,British Virgin Islands,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
brn,TRUE,Brunei,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
bgr,TRUE,Bulgaria,europe,is_eu,not_briics,is_nato,not_oecd,not_g7,not_sweden
bunk_main,TRUE,Bunkering and maintenance,other,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
bunk_third,TRUE,Bunkering and maintenance in trade with third country,other,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
bunk_eu,TRUE,Bunkering and maintenance in trade within the EU,other,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
bfa,TRUE,Burkina Faso,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
bdi,TRUE,Burundi,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
cpv,TRUE,Cabo Verde,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
khm,TRUE,Cambodia,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
cmr,TRUE,Cameroon,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
can,TRUE,Canada,n_america,not_eu,not_briics,is_nato,is_oecd,is_g7,not_sweden
cay,TRUE,Canary Islands,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
cym,TRUE,Cayman Islands,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
caf,TRUE,Central African Republic,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
ceu,TRUE,Ceuta,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
tcd,TRUE,Chad,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
chl,TRUE,Chile,s_america,not_eu,not_briics,not_nato,is_oecd,not_g7,not_sweden
chn,TRUE,China (People's Republic of),asia,not_eu,is_briics,not_nato,not_oecd,not_g7,not_sweden
cxr,TRUE,Christmas Island,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
coc,TRUE,Cocos Islands,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
col,TRUE,Colombia,s_america,not_eu,not_briics,not_nato,is_oecd,not_g7,not_sweden
com,TRUE,Comoros,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
cog,TRUE,Congo,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
ckk,TRUE,Cook Islands,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
cri,TRUE,Costa Rica,n_america,not_eu,not_briics,not_nato,is_oecd,not_g7,not_sweden
civ,TRUE,Côte d'Ivoire,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
def_unspec,TRUE,Countries and territories not specified for trade or defence reasons,other,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
third_unspec,TRUE,Countries and territories not specified for trade or defence reasons in trade with third country,other,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
eu_unspec,TRUE,Countries and territories not specified for trade or defence reasons in trade within the EU,other,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
hrv,TRUE,Croatia,europe,is_eu,not_briics,is_nato,not_oecd,not_g7,not_sweden
cub,TRUE,Cuba,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
nld_curacao,TRUE,Curaçao,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
cyp,TRUE,Cyprus,euro_asia,is_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
cze,TRUE,Czechia,europe,is_eu,not_briics,is_nato,is_oecd,not_g7,not_sweden
cod,TRUE,Democratic Republic of the Congo,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
dnk,TRUE,Denmark,europe,is_eu,not_briics,is_nato,is_oecd,not_g7,not_sweden
