"country","year","ae_cap_def"
"aut","1990",NA
"aut","1991",NA
"aut","1992",NA
"aut","1993",NA
"aut","1994",NA
"aut","1995",NA
"aut","1996",NA
"aut","1997",NA
"aut","1998",NA
"aut","1999",NA
"aut","2000",NA
"aut","2001",NA
"aut","2002",NA
"aut","2003",NA
"aut","2004",NA
"aut","2005",NA
"aut","2006",NA
"aut","2007",NA
"aut","2008",37.33092
"aut","2009",39.83411
"aut","2010",39.13199
"aut","2011",36.28821
"aut","2012",65.02418
"aut","2013",62.32473
"aut","2014",60.68409
"aut","2015",62.26887
"aut","2016",65.26553
"aut","2017",69.97902
"aut","2018",54.09991
"aut","2019",47.3287
"aut","2020",47.71362
"aut","2021",65.45921
"aut","2022",57.81583
"aut","2023",NA
"bel","1990",NA
"bel","1991",NA
"bel","1992",NA
"bel","1993",NA
"bel","1994",NA
"bel","1995",NA
"bel","1996",NA
"bel","1997",NA
"bel","1998",NA
"bel","1999",NA
"bel","2000",NA
"bel","2001",NA
"bel","2002",NA
"bel","2003",NA
"bel","2004",NA
"bel","2005",NA
"bel","2006",NA
"bel","2007",NA
"bel","2008",128.0102
"bel","2009",130.68789
"bel","2010",125.36063
"bel","2011",107.45256
"bel","2012",108.84468
"bel","2013",108.3611
"bel","2014",92.8908
"bel","2015",98.94672
"bel","2016",97.65993
"bel","2017",93.83298
"bel","2018",98.38583
"bel","2019",90.85414
"bel","2020",85.66921
"bel","2021",91.4757
"bel","2022",81.20271
"bel","2023",NA
"bgr","1990",NA
"bgr","1991",NA
"bgr","1992",NA
"bgr","1993",NA
"bgr","1994",NA
"bgr","1995",NA
"bgr","1996",NA
"bgr","1997",NA
"bgr","1998",NA
"bgr","1999",NA
"bgr","2000",NA
"bgr","2001",NA
"bgr","2002",NA
"bgr","2003",NA
"bgr","2004",NA
"bgr","2005",NA
"bgr","2006",NA
"bgr","2007",NA
"bgr","2008",10.62226
"bgr","2009",14.69231
"bgr","2010",11.09929
"bgr","2011",12.49446
"bgr","2012",8.44959
"bgr","2013",8.51422
"bgr","2014",7.64439
"bgr","2015",10.31045
"bgr","2016",12.6053
"bgr","2017",11.60431
"bgr","2018",7.77919
"bgr","2019",3.93608
"bgr","2020",3.72501
"bgr","2021",5.95924
"bgr","2022",6.2876
"bgr","2023",NA
"hrv","1990",NA
"hrv","1991",NA
"hrv","1992",NA
"hrv","1993",NA
"hrv","1994",NA
"hrv","1995",NA
"hrv","1996",NA
"hrv","1997",NA
"hrv","1998",NA
"hrv","1999",NA
"hrv","2000",NA
"hrv","2001",NA
"hrv","2002",NA
"hrv","2003",NA
"hrv","2004",NA
"hrv","2005",NA
"hrv","2006",NA
"hrv","2007",NA
"hrv","2008",15.87176
"hrv","2009",16.34223
"hrv","2010",16.6578
"hrv","2011",16.67234
"hrv","2012",16.37062
"hrv","2013",17.60909
"hrv","2014",17.49154
"hrv","2015",18.79987
"hrv","2016",20.02632
"hrv","2017",22.96683
"hrv","2018",23.17423
"hrv","2019",24.65841
"hrv","2020",23.38429
"hrv","2021",25.74286
"hrv","2022",26.87446
"hrv","2023",NA
"cyp","1990",NA
"cyp","1991",NA
"cyp","1992",NA
"cyp","1993",NA
"cyp","1994",NA
"cyp","1995",NA
"cyp","1996",NA
"cyp","1997",NA
"cyp","1998",NA
"cyp","1999",NA
"cyp","2000",NA
"cyp","2001",NA
"cyp","2002",NA
"cyp","2003",NA
"cyp","2004",NA
"cyp","2005",NA
"cyp","2006",NA
"cyp","2007",NA
"cyp","2008",90.59834
"cyp","2009",91.42201
"cyp","2010",89.96701
"cyp","2011",98.96703
"cyp","2012",89.70279
"cyp","2013",80.94689
"cyp","2014",86.26479
"cyp","2015",75.28595
"cyp","2016",71.89183
"cyp","2017",73.54983
"cyp","2018",77.13914
"cyp","2019",76.1244
"cyp","2020",78.91383
"cyp","2021",70.39293
"cyp","2022",69.71192
"cyp","2023",NA
"cze","1990",NA
"cze","1991",NA
"cze","1992",NA
"cze","1993",NA
"cze","1994",NA
"cze","1995",NA
"cze","1996",NA
"cze","1997",NA
"cze","1998",NA
"cze","1999",NA
"cze","2000",NA
"cze","2001",NA
"cze","2002",NA
"cze","2003",NA
"cze","2004",NA
"cze","2005",NA
"cze","2006",NA
"cze","2007",NA
"cze","2008",22.18134
"cze","2009",21.86113
"cze","2010",19.40857
"cze","2011",19.95938
"cze","2012",23.01397
"cze","2013",16.83366
"cze","2014",22.14849
"cze","2015",19.26507
"cze","2016",18.69934
"cze","2017",14.55898
"cze","2018",20.70935
"cze","2019",18.13409
"cze","2020",20.81802
"cze","2021",22.9677
"cze","2022",19.75231
"cze","2023",NA
"dnk","1990",NA
"dnk","1991",NA
"dnk","1992",NA
"dnk","1993",NA
"dnk","1994",NA
"dnk","1995",NA
"dnk","1996",NA
"dnk","1997",NA
"dnk","1998",NA
"dnk","1999",NA
"dnk","2000",NA
"dnk","2001",NA
"dnk","2002",NA
"dnk","2003",NA
"dnk","2004",NA
"dnk","2005",NA
"dnk","2006",NA
"dnk","2007",NA
"dnk","2008",53.51355
"dnk","2009",70.9478
"dnk","2010",64.65431
"dnk","2011",76.43792
"dnk","2012",69.28311
"dnk","2013",70.71081
"dnk","2014",67.13005
"dnk","2015",61.90291
"dnk","2016",62.4801
"dnk","2017",80.53348
"dnk","2018",67.70552
"dnk","2019",69.26396
"dnk","2020",74.94099
"dnk","2021",71.57298
"dnk","2022",76.23184
"dnk","2023",NA
"est","1990",NA
"est","1991",NA
"est","1992",NA
"est","1993",NA
"est","1994",NA
"est","1995",NA
"est","1996",NA
"est","1997",NA
"est","1998",NA
"est","1999",NA
"est","2000",NA
"est","2001",NA
"est","2002",NA
"est","2003",NA
"est","2004",NA
"est","2005",NA
"est","2006",NA
"est","2007",NA
"est","2008",176.98142
"est","2009",185.5975
"est","2010",123.33191
"est","2011",120.21335
"est","2012",116.28867
"est","2013",103.01385
"est","2014",101.91317
"est","2015",122.89792
"est","2016",26.05004
"est","2017",22.35206
"est","2018",19.33936
