country,year,ae_cap_health
aut,1990,NA
aut,1991,NA
aut,1992,NA
aut,1993,NA
aut,1994,NA
aut,1995,NA
aut,1996,NA
aut,1997,NA
aut,1998,NA
aut,1999,NA
aut,2000,NA
aut,2001,NA
aut,2002,NA
aut,2003,NA
aut,2004,NA
aut,2005,NA
aut,2006,NA
aut,2007,NA
aut,2008,27.74673
aut,2009,20.43672
aut,2010,23.47442
aut,2011,25.91676
aut,2012,32.15337
aut,2013,33.66047
aut,2014,26.56612
aut,2015,27.32316
aut,2016,19.34496
aut,2017,14.79944
aut,2018,19.11451
aut,2019,26.97071
aut,2020,26.64214
aut,2021,30.68412
aut,2022,26.81213
aut,2023,NA
bel,1990,NA
bel,1991,NA
bel,1992,NA
bel,1993,NA
bel,1994,NA
bel,1995,NA
bel,1996,NA
bel,1997,NA
bel,1998,NA
bel,1999,NA
bel,2000,NA
bel,2001,NA
bel,2002,NA
bel,2003,NA
bel,2004,NA
bel,2005,NA
bel,2006,NA
bel,2007,NA
bel,2008,89.66468
bel,2009,80.29335
bel,2010,88.97293
bel,2011,78.24696
bel,2012,83.26266
bel,2013,79.88921
bel,2014,72.16776
bel,2015,77.36799
bel,2016,78.26169
bel,2017,73.92279
bel,2018,76.5316
bel,2019,77.42514
bel,2020,68.99653
bel,2021,75.85611
bel,2022,66.43846
bel,2023,NA
bgr,1990,NA
bgr,1991,NA
bgr,1992,NA
bgr,1993,NA
bgr,1994,NA
bgr,1995,NA
bgr,1996,NA
bgr,1997,NA
bgr,1998,NA
bgr,1999,NA
bgr,2000,NA
bgr,2001,NA
bgr,2002,NA
bgr,2003,NA
bgr,2004,NA
bgr,2005,NA
bgr,2006,NA
bgr,2007,NA
bgr,2008,9.922
bgr,2009,9.42187
bgr,2010,9.73657
bgr,2011,9.15472
bgr,2012,9.49862
bgr,2013,7.05367
bgr,2014,6.96755
bgr,2015,6.67308
bgr,2016,6.7099
bgr,2017,6.53103
bgr,2018,6.55457
bgr,2019,6.54165
bgr,2020,6.18542
bgr,2021,6.97194
bgr,2022,7.06455
bgr,2023,NA
hrv,1990,NA
hrv,1991,NA
hrv,1992,NA
hrv,1993,NA
hrv,1994,NA
hrv,1995,NA
hrv,1996,NA
hrv,1997,NA
hrv,1998,NA
hrv,1999,NA
hrv,2000,NA
hrv,2001,NA
hrv,2002,NA
hrv,2003,NA
hrv,2004,NA
hrv,2005,NA
hrv,2006,NA
hrv,2007,NA
hrv,2008,23.82402
hrv,2009,24.67203
hrv,2010,26.43824
hrv,2011,25.82674
hrv,2012,24.61149
hrv,2013,25.15654
hrv,2014,24.9366
hrv,2015,28.68806
hrv,2016,30.99702
hrv,2017,34.54218
hrv,2018,35.87717
hrv,2019,37.47183
hrv,2020,36.88765
hrv,2021,41.60612
hrv,2022,43.50415
hrv,2023,NA
cyp,1990,NA
cyp,1991,NA
cyp,1992,NA
cyp,1993,NA
cyp,1994,NA
cyp,1995,NA
cyp,1996,NA
cyp,1997,NA
cyp,1998,NA
cyp,1999,NA
cyp,2000,NA
cyp,2001,NA
cyp,2002,NA
cyp,2003,NA
cyp,2004,NA
cyp,2005,NA
cyp,2006,NA
cyp,2007,NA
cyp,2008,15.07482
cyp,2009,14.4525
cyp,2010,15.08837
cyp,2011,13.65257
cyp,2012,12.90926
cyp,2013,13.51409
cyp,2014,13.51252
cyp,2015,14.83287
cyp,2016,13.99034
cyp,2017,15.57612
cyp,2018,15.68939
cyp,2019,18.15182
cyp,2020,17.43902
cyp,2021,17.64495
cyp,2022,16.96027
cyp,2023,NA
cze,1990,NA
cze,1991,NA
cze,1992,NA
cze,1993,NA
cze,1994,NA
cze,1995,NA
cze,1996,NA
cze,1997,NA
cze,1998,NA
cze,1999,NA
cze,2000,NA
cze,2001,NA
cze,2002,NA
cze,2003,NA
cze,2004,NA
cze,2005,NA
cze,2006,NA
cze,2007,NA
cze,2008,33.43452
cze,2009,35.11741
cze,2010,33.74447
cze,2011,32.76614
cze,2012,33.32982
cze,2013,30.88118
cze,2014,27.90776
cze,2015,29.42486
cze,2016,29.87375
cze,2017,25.02149
cze,2018,29.22228
cze,2019,28.29087
cze,2020,29.9043
cze,2021,30.26271
cze,2022,28.61007
cze,2023,NA
dnk,1990,NA
dnk,1991,NA
dnk,1992,NA
dnk,1993,NA
dnk,1994,NA
dnk,1995,NA
dnk,1996,NA
dnk,1997,NA
dnk,1998,NA
dnk,1999,NA
dnk,2000,NA
dnk,2001,NA
dnk,2002,NA
dnk,2003,NA
dnk,2004,NA
dnk,2005,NA
dnk,2006,NA
dnk,2007,NA
dnk,2008,55.63007
dnk,2009,57.6219
dnk,2010,57.67215
dnk,2011,50.44133
dnk,2012,49.30384
dnk,2013,49.59893
dnk,2014,43.17613
dnk,2015,43.7314
dnk,2016,40.16004
dnk,2017,38.44103
dnk,2018,37.9377
dnk,2019,33.02056
dnk,2020,31.84936
dnk,2021,30.70776
dnk,2022,25.62286
dnk,2023,NA
est,1990,NA
est,1991,NA
est,1992,NA
est,1993,NA
est,1994,NA
est,1995,NA
est,1996,NA
est,1997,NA
est,1998,NA
est,1999,NA
est,2000,NA
est,2001,NA
est,2002,NA
est,2003,NA
est,2004,NA
est,2005,NA
est,2006,NA
est,2007,NA
est,2008,20.59882
est,2009,18.93187
est,2010,17.36103
est,2011,21.95312
est,2012,22.50991
est,2013,26.05077
est,2014,21.94596
est,2015,22.93494
est,2016,9.89021
est,2017,11.19264
est,2018,11.23207
est,2019,10.83331
est,2020,12.02883
est,2021,6.8628
est,2022,7.41067
est,2023,NA
NA,1990,NA
NA,1991,NA
NA,1992,NA
NA,1993,NA
NA,1994,NA
NA,1995,NA
NA,1996,NA
NA,1997,NA
NA,1998,NA
NA,1999,NA
NA,2000,NA
NA,2001,NA
NA,2002,NA
NA,2003,NA
NA,2004,NA
NA,2005,NA
NA,2006,NA
NA,2007,NA
NA,2008,51.6064
NA,2009,51.06082
NA,2010,56.35773
NA,2011,52.28264
NA,2012,53.21955
