"country","year","ae_cap_info"
"aut","1990",NA
"aut","1991",NA
"aut","1992",NA
"aut","1993",NA
"aut","1994",NA
"aut","1995",NA
"aut","1996",NA
"aut","1997",NA
"aut","1998",NA
"aut","1999",NA
"aut","2000",NA
"aut","2001",NA
"aut","2002",NA
"aut","2003",NA
"aut","2004",NA
"aut","2005",NA
"aut","2006",NA
"aut","2007",NA
"aut","2008",14.17065
"aut","2009",12.10164
"aut","2010",12.80922
"aut","2011",11.10066
"aut","2012",9.87427
"aut","2013",9.48236
"aut","2014",8.34427
"aut","2015",7.71269
"aut","2016",6.1711
"aut","2017",6.22647
"aut","2018",7.30015
"aut","2019",6.67763
"aut","2020",6.94509
"aut","2021",7.91368
"aut","2022",6.97588
"aut","2023",NA
"bel","1990",NA
"bel","1991",NA
"bel","1992",NA
"bel","1993",NA
"bel","1994",NA
"bel","1995",NA
"bel","1996",NA
"bel","1997",NA
"bel","1998",NA
"bel","1999",NA
"bel","2000",NA
"bel","2001",NA
"bel","2002",NA
"bel","2003",NA
"bel","2004",NA
"bel","2005",NA
"bel","2006",NA
"bel","2007",NA
"bel","2008",22.63778
"bel","2009",24.22354
"bel","2010",25.50161
"bel","2011",23.81183
"bel","2012",24.32577
"bel","2013",27.7778
"bel","2014",26.17069
"bel","2015",24.52992
"bel","2016",24.43324
"bel","2017",25.75224
"bel","2018",25.06037
"bel","2019",26.25899
"bel","2020",22.34758
"bel","2021",23.65639
"bel","2022",20.73816
"bel","2023",NA
"bgr","1990",NA
"bgr","1991",NA
"bgr","1992",NA
"bgr","1993",NA
"bgr","1994",NA
"bgr","1995",NA
"bgr","1996",NA
"bgr","1997",NA
"bgr","1998",NA
"bgr","1999",NA
"bgr","2000",NA
"bgr","2001",NA
"bgr","2002",NA
"bgr","2003",NA
"bgr","2004",NA
"bgr","2005",NA
"bgr","2006",NA
"bgr","2007",NA
"bgr","2008",4.78335
"bgr","2009",4.8134
"bgr","2010",4.6543
"bgr","2011",4.55325
"bgr","2012",4.61501
"bgr","2013",3.96105
"bgr","2014",4.53464
"bgr","2015",4.34632
"bgr","2016",4.46567
"bgr","2017",4.72752
"bgr","2018",4.3761
"bgr","2019",4.02074
"bgr","2020",3.30566
"bgr","2021",3.98391
"bgr","2022",3.84968
"bgr","2023",NA
"hrv","1990",NA
"hrv","1991",NA
"hrv","1992",NA
"hrv","1993",NA
"hrv","1994",NA
"hrv","1995",NA
"hrv","1996",NA
"hrv","1997",NA
"hrv","1998",NA
"hrv","1999",NA
"hrv","2000",NA
"hrv","2001",NA
"hrv","2002",NA
"hrv","2003",NA
"hrv","2004",NA
"hrv","2005",NA
"hrv","2006",NA
"hrv","2007",NA
"hrv","2008",20.92412
"hrv","2009",21.26572
"hrv","2010",22.11705
"hrv","2011",21.39243
"hrv","2012",20.14159
"hrv","2013",20.13055
"hrv","2014",19.52543
"hrv","2015",22.27893
"hrv","2016",23.73881
"hrv","2017",26.41775
"hrv","2018",26.90059
"hrv","2019",27.89347
"hrv","2020",26.76111
"hrv","2021",30.44112
"hrv","2022",31.4282
"hrv","2023",NA
"cyp","1990",NA
"cyp","1991",NA
"cyp","1992",NA
"cyp","1993",NA
"cyp","1994",NA
"cyp","1995",NA
"cyp","1996",NA
"cyp","1997",NA
"cyp","1998",NA
"cyp","1999",NA
"cyp","2000",NA
"cyp","2001",NA
"cyp","2002",NA
"cyp","2003",NA
"cyp","2004",NA
"cyp","2005",NA
"cyp","2006",NA
"cyp","2007",NA
"cyp","2008",12.89968
"cyp","2009",13.24125
"cyp","2010",13.5385
"cyp","2011",12.66927
"cyp","2012",13.49103
"cyp","2013",12.10549
"cyp","2014",11.63824
"cyp","2015",12.36844
"cyp","2016",12.22282
"cyp","2017",13.40138
"cyp","2018",12.72664
"cyp","2019",12.82395
"cyp","2020",12.5246
"cyp","2021",13.47035
"cyp","2022",13.3437
"cyp","2023",NA
"cze","1990",NA
"cze","1991",NA
"cze","1992",NA
"cze","1993",NA
"cze","1994",NA
"cze","1995",NA
"cze","1996",NA
"cze","1997",NA
"cze","1998",NA
"cze","1999",NA
"cze","2000",NA
"cze","2001",NA
"cze","2002",NA
"cze","2003",NA
"cze","2004",NA
"cze","2005",NA
"cze","2006",NA
"cze","2007",NA
"cze","2008",10.40493
"cze","2009",10.61959
"cze","2010",10.7028
"cze","2011",10.05777
"cze","2012",9.6035
"cze","2013",8.41292
"cze","2014",8.37963
"cze","2015",37.47721
"cze","2016",9.07383
"cze","2017",9.26359
"cze","2018",9.43683
"cze","2019",9.57137
"cze","2020",6.70672
"cze","2021",7.51718
"cze","2022",7.11734
"cze","2023",NA
"dnk","1990",NA
"dnk","1991",NA
"dnk","1992",NA
"dnk","1993",NA
"dnk","1994",NA
"dnk","1995",NA
"dnk","1996",NA
"dnk","1997",NA
"dnk","1998",NA
"dnk","1999",NA
"dnk","2000",NA
"dnk","2001",NA
"dnk","2002",NA
"dnk","2003",NA
"dnk","2004",NA
"dnk","2005",NA
"dnk","2006",NA
"dnk","2007",NA
"dnk","2008",24.54764
"dnk","2009",21.32581
"dnk","2010",20.68041
"dnk","2011",18.96792
"dnk","2012",17.47509
"dnk","2013",14.03849
"dnk","2014",12.97817
"dnk","2015",13.6285
"dnk","2016",15.92846
"dnk","2017",15.96796
"dnk","2018",14.82495
"dnk","2019",13.8603
"dnk","2020",12.73929
"dnk","2021",16.16401
"dnk","2022",12.52903
"dnk","2023",NA
"est","1990",NA
"est","1991",NA
"est","1992",NA
"est","1993",NA
"est","1994",NA
"est","1995",NA
"est","1996",NA
"est","1997",NA
"est","1998",NA
"est","1999",NA
"est","2000",NA
"est","2001",NA
"est","2002",NA
"est","2003",NA
"est","2004",NA
"est","2005",NA
"est","2006",NA
"est","2007",NA
"est","2008",11.49427
"est","2009",12.45565
"est","2010",12.07471
"est","2011",13.43801
"est","2012",14.22535
"est","2013",14.12094
"est","2014",12.80844
"est","2015",9.77317
"est","2016",8.67572
"est","2017",9.01704
"est","2018",8.96111
