"country","year","ae_ton_elec"
"aut","1990",NA
"aut","1991",NA
"aut","1992",NA
"aut","1993",NA
"aut","1994",NA
"aut","1995",NA
"aut","1996",NA
"aut","1997",NA
"aut","1998",NA
"aut","1999",NA
"aut","2000",NA
"aut","2001",NA
"aut","2002",NA
"aut","2003",NA
"aut","2004",NA
"aut","2005",NA
"aut","2006",NA
"aut","2007",NA
"aut","2008",10652.14268
"aut","2009",9621.22955
"aut","2010",11035.72994
"aut","2011",10628.97824
"aut","2012",9189.59364
"aut","2013",8354.73625
"aut","2014",6827.86323
"aut","2015",7836.797
"aut","2016",7642.99103
"aut","2017",8337.9878
"aut","2018",7405.27256
"aut","2019",7480.60389
"aut","2020",6165.05839
"aut","2021",6153.47628
"aut","2022",5856.01172
"aut","2023",NA
"bel","1990",NA
"bel","1991",NA
"bel","1992",NA
"bel","1993",NA
"bel","1994",NA
"bel","1995",NA
"bel","1996",NA
"bel","1997",NA
"bel","1998",NA
"bel","1999",NA
"bel","2000",NA
"bel","2001",NA
"bel","2002",NA
"bel","2003",NA
"bel","2004",NA
"bel","2005",NA
"bel","2006",NA
"bel","2007",NA
"bel","2008",20810.4793
"bel","2009",21207.59838
"bel","2010",21848.33595
"bel","2011",18828.59652
"bel","2012",18324.74866
"bel","2013",17031.18408
"bel","2014",15760.68119
"bel","2015",16618.27853
"bel","2016",15349.45361
"bel","2017",15423.03177
"bel","2018",15552.59666
"bel","2019",15721.67892
"bel","2020",14577.27194
"bel","2021",13478.18344
"bel","2022",13751.11415
"bel","2023",NA
"bgr","1990",NA
"bgr","1991",NA
"bgr","1992",NA
"bgr","1993",NA
"bgr","1994",NA
"bgr","1995",NA
"bgr","1996",NA
"bgr","1997",NA
"bgr","1998",NA
"bgr","1999",NA
"bgr","2000",NA
"bgr","2001",NA
"bgr","2002",NA
"bgr","2003",NA
"bgr","2004",NA
"bgr","2005",NA
"bgr","2006",NA
"bgr","2007",NA
"bgr","2008",32101.72045
"bgr","2009",29188.16253
"bgr","2010",31266.38826
"bgr","2011",36193.68881
"bgr","2012",31409.18875
"bgr","2013",27050.0175
"bgr","2014",28866.76627
"bgr","2015",29916.92537
"bgr","2016",26456.29458
"bgr","2017",27649.41061
"bgr","2018",23830.13123
"bgr","2019",22639.63908
"bgr","2020",17999.99183
"bgr","2021",22435.4083
"bgr","2022",26203.06968
"bgr","2023",NA
"can","1990",NA
"can","1991",NA
"can","1992",NA
"can","1993",NA
"can","1994",NA
"can","1995",NA
"can","1996",NA
"can","1997",NA
"can","1998",NA
"can","1999",NA
"can","2000",NA
"can","2001",NA
"can","2002",NA
"can","2003",NA
"can","2004",NA
"can","2005",NA
"can","2006",NA
"can","2007",NA
"can","2008",NA
"can","2009",107362
"can","2010",106584
"can","2011",98502
"can","2012",93821
"can","2013",90324
"can","2014",86896
"can","2015",91332
"can","2016",84689
"can","2017",82622
"can","2018",74096
"can","2019",72865
"can","2020",66001
"can","2021",65468
"can","2022",NA
"can","2023",NA
"hrv","1990",NA
"hrv","1991",NA
"hrv","1992",NA
"hrv","1993",NA
"hrv","1994",NA
"hrv","1995",NA
"hrv","1996",NA
"hrv","1997",NA
"hrv","1998",NA
"hrv","1999",NA
"hrv","2000",NA
"hrv","2001",NA
"hrv","2002",NA
"hrv","2003",NA
"hrv","2004",NA
"hrv","2005",NA
"hrv","2006",NA
"hrv","2007",NA
"hrv","2008",6352.4032
"hrv","2009",5414.65389
"hrv","2010",5015.16397
"hrv","2011",5127.82473
"hrv","2012",4569.93493
"hrv","2013",4343.98999
"hrv","2014",3768.04637
"hrv","2015",3793.86758
"hrv","2016",4094.40738
"hrv","2017",3683.4151
"hrv","2018",3108.90628
"hrv","2019",3402.96978
"hrv","2020",3405.57548
"hrv","2021",3419.03925
"hrv","2022",3221.13382
"hrv","2023",NA
"cyp","1990",NA
"cyp","1991",NA
"cyp","1992",NA
"cyp","1993",NA
"cyp","1994",NA
"cyp","1995",NA
"cyp","1996",NA
"cyp","1997",NA
"cyp","1998",NA
"cyp","1999",NA
"cyp","2000",NA
"cyp","2001",NA
"cyp","2002",NA
"cyp","2003",NA
"cyp","2004",NA
"cyp","2005",NA
"cyp","2006",NA
"cyp","2007",NA
"cyp","2008",4016.28392
"cyp","2009",4015.97577
"cyp","2010",3894.30644
"cyp","2011",3738.2736
"cyp","2012",3573.4073
"cyp","2013",2854.74706
"cyp","2014",2965.9885
"cyp","2015",3049.35752
"cyp","2016",3326.26538
"cyp","2017",3314.36127
"cyp","2018",3369.8753
"cyp","2019",3308.21029
"cyp","2020",3032.13204
"cyp","2021",3104.01347
"cyp","2022",3113.19131
"cyp","2023",NA
"cze","1990",NA
"cze","1991",NA
"cze","1992",NA
"cze","1993",NA
"cze","1994",NA
"cze","1995",NA
"cze","1996",NA
"cze","1997",NA
"cze","1998",NA
"cze","1999",NA
"cze","2000",NA
"cze","2001",NA
"cze","2002",NA
"cze","2003",NA
"cze","2004",NA
"cze","2005",NA
"cze","2006",NA
"cze","2007",NA
"cze","2008",57659.28495
"cze","2009",54453.46848
"cze","2010",58657.55568
"cze","2011",57474.36228
"cze","2012",54431.36387
"cze","2013",51306.13533
"cze","2014",50189.42437
"cze","2015",49055.10408
"cze","2016",50608.01102
"cze","2017",49706.1166
"cze","2018",49848.35968
"cze","2019",45870.49786
"cze","2020",39291.36416
"cze","2021",42057.91076
"cze","2022",41763.14799
"cze","2023",NA
"dnk","1990",NA
"dnk","1991",NA
"dnk","1992",NA
"dnk","1993",NA
"dnk","1994",NA
"dnk","1995",NA
"dnk","1996",NA
"dnk","1997",NA
"dnk","1998",NA
"dnk","1999",NA
"dnk","2000",NA
"dnk","2001",NA
"dnk","2002",NA
"dnk","2003",NA
"dnk","2004",NA
"dnk","2005",NA
"dnk","2006",NA
"dnk","2007",NA
"dnk","2008",21549.90974
"dnk","2009",21527.02384
"dnk","2010",21616.39992
"dnk","2011",18614.56743
"dnk","2012",14975.43392
"dnk","2013",17854.59233
