"country","year","ae_ton_food"
"aut","1990",NA
"aut","1991",NA
"aut","1992",NA
"aut","1993",NA
"aut","1994",NA
"aut","1995",NA
"aut","1996",NA
"aut","1997",NA
"aut","1998",NA
"aut","1999",NA
"aut","2000",NA
"aut","2001",NA
"aut","2002",NA
"aut","2003",NA
"aut","2004",NA
"aut","2005",NA
"aut","2006",NA
"aut","2007",NA
"aut","2008",740.68239
"aut","2009",646.62864
"aut","2010",581.95522
"aut","2011",518.42204
"aut","2012",443.80389
"aut","2013",426.98584
"aut","2014",399.09812
"aut","2015",391.41358
"aut","2016",383.1597
"aut","2017",434.07501
"aut","2018",418.94434
"aut","2019",393.59226
"aut","2020",331.34994
"aut","2021",352.67348
"aut","2022",322.95874
"aut","2023",NA
"bel","1990",NA
"bel","1991",NA
"bel","1992",NA
"bel","1993",NA
"bel","1994",NA
"bel","1995",NA
"bel","1996",NA
"bel","1997",NA
"bel","1998",NA
"bel","1999",NA
"bel","2000",NA
"bel","2001",NA
"bel","2002",NA
"bel","2003",NA
"bel","2004",NA
"bel","2005",NA
"bel","2006",NA
"bel","2007",NA
"bel","2008",555.19237
"bel","2009",569.33103
"bel","2010",714.08855
"bel","2011",596.73569
"bel","2012",718.54822
"bel","2013",792.98634
"bel","2014",594.14893
"bel","2015",653.92072
"bel","2016",673.56015
"bel","2017",672.53658
"bel","2018",737.13154
"bel","2019",718.05405
"bel","2020",638.5119
"bel","2021",695.38577
"bel","2022",609.19701
"bel","2023",NA
"bgr","1990",NA
"bgr","1991",NA
"bgr","1992",NA
"bgr","1993",NA
"bgr","1994",NA
"bgr","1995",NA
"bgr","1996",NA
"bgr","1997",NA
"bgr","1998",NA
"bgr","1999",NA
"bgr","2000",NA
"bgr","2001",NA
"bgr","2002",NA
"bgr","2003",NA
"bgr","2004",NA
"bgr","2005",NA
"bgr","2006",NA
"bgr","2007",NA
"bgr","2008",83.4407
"bgr","2009",79.99644
"bgr","2010",75.33
"bgr","2011",73.18575
"bgr","2012",75.46925
"bgr","2013",69.63587
"bgr","2014",71.96228
"bgr","2015",63.05751
"bgr","2016",64.73415
"bgr","2017",65.74411
"bgr","2018",79.92464
"bgr","2019",90.65517
"bgr","2020",61.28648
"bgr","2021",79.61816
"bgr","2022",79.45445
"bgr","2023",NA
"can","1990",NA
"can","1991",NA
"can","1992",NA
"can","1993",NA
"can","1994",NA
"can","1995",NA
"can","1996",NA
"can","1997",NA
"can","1998",NA
"can","1999",NA
"can","2000",NA
"can","2001",NA
"can","2002",NA
"can","2003",NA
"can","2004",NA
"can","2005",NA
"can","2006",NA
"can","2007",NA
"can","2008",NA
"can","2009",1576
"can","2010",1540
"can","2011",1730
"can","2012",1610
"can","2013",1662
"can","2014",1753
"can","2015",1721
"can","2016",1684
"can","2017",1869
"can","2018",1921
"can","2019",2065
"can","2020",1575
"can","2021",1687
"can","2022",NA
"can","2023",NA
"hrv","1990",NA
"hrv","1991",NA
"hrv","1992",NA
"hrv","1993",NA
"hrv","1994",NA
"hrv","1995",NA
"hrv","1996",NA
"hrv","1997",NA
"hrv","1998",NA
"hrv","1999",NA
"hrv","2000",NA
"hrv","2001",NA
"hrv","2002",NA
"hrv","2003",NA
"hrv","2004",NA
"hrv","2005",NA
"hrv","2006",NA
"hrv","2007",NA
"hrv","2008",52.33735
"hrv","2009",53.24753
"hrv","2010",57.06719
"hrv","2011",53.6628
"hrv","2012",49.70534
"hrv","2013",49.5418
"hrv","2014",47.22966
"hrv","2015",54.3443
"hrv","2016",56.51689
"hrv","2017",61.80219
"hrv","2018",61.89724
"hrv","2019",63.09499
"hrv","2020",59.99557
"hrv","2021",66.5447
"hrv","2022",67.25258
"hrv","2023",NA
"cyp","1990",NA
"cyp","1991",NA
"cyp","1992",NA
"cyp","1993",NA
"cyp","1994",NA
"cyp","1995",NA
"cyp","1996",NA
"cyp","1997",NA
"cyp","1998",NA
"cyp","1999",NA
"cyp","2000",NA
"cyp","2001",NA
"cyp","2002",NA
"cyp","2003",NA
"cyp","2004",NA
"cyp","2005",NA
"cyp","2006",NA
"cyp","2007",NA
"cyp","2008",70.2298
"cyp","2009",68.10264
"cyp","2010",73.4905
"cyp","2011",72.5106
"cyp","2012",61.81303
"cyp","2013",64.63302
"cyp","2014",59.02335
"cyp","2015",64.22543
"cyp","2016",65.6567
"cyp","2017",72.2254
"cyp","2018",73.17964
"cyp","2019",88.6009
"cyp","2020",67.05267
"cyp","2021",71.28827
"cyp","2022",71.80519
"cyp","2023",NA
"cze","1990",NA
"cze","1991",NA
"cze","1992",NA
"cze","1993",NA
"cze","1994",NA
"cze","1995",NA
"cze","1996",NA
"cze","1997",NA
"cze","1998",NA
"cze","1999",NA
"cze","2000",NA
"cze","2001",NA
"cze","2002",NA
"cze","2003",NA
"cze","2004",NA
"cze","2005",NA
"cze","2006",NA
"cze","2007",NA
"cze","2008",107.68475
"cze","2009",199.78995
"cze","2010",165.20687
"cze","2011",175.1854
"cze","2012",156.59216
"cze","2013",151.71055
"cze","2014",145.43182
"cze","2015",154.1549
"cze","2016",160.34374
"cze","2017",44.01595
"cze","2018",78.39773
"cze","2019",94.19197
"cze","2020",44.33008
"cze","2021",67.37244
"cze","2022",65.51857
"cze","2023",NA
"dnk","1990",NA
"dnk","1991",NA
"dnk","1992",NA
"dnk","1993",NA
"dnk","1994",NA
"dnk","1995",NA
"dnk","1996",NA
"dnk","1997",NA
"dnk","1998",NA
"dnk","1999",NA
"dnk","2000",NA
"dnk","2001",NA
"dnk","2002",NA
"dnk","2003",NA
"dnk","2004",NA
"dnk","2005",NA
"dnk","2006",NA
"dnk","2007",NA
"dnk","2008",200.73934
"dnk","2009",188.85324
"dnk","2010",200.39219
"dnk","2011",178.18001
"dnk","2012",162.02935
"dnk","2013",146.5356
"dnk","2014",137.21957
"dnk","2015",140.9996
"dnk","2016",143.09363
"dnk","2017",148.08168
"dnk","2018",143.50826
"dnk","2019",126.85134
"dnk","2020",112.16565
"dnk","2021",123.74582
