"country","year","ae_ton_house"
"can","1990",NA
"can","1991",NA
"can","1992",NA
"can","1993",NA
"can","1994",NA
"can","1995",NA
"can","1996",NA
"can","1997",NA
"can","1998",NA
"can","1999",NA
"can","2000",NA
"can","2001",NA
"can","2002",NA
"can","2003",NA
"can","2004",NA
"can","2005",NA
"can","2006",NA
"can","2007",NA
"can","2008",NA
"can","2009",129000
"can","2010",128722
"can","2011",132520
"can","2012",128252
"can","2013",135150
"can","2014",133205
"can","2015",132343
"can","2016",131078
"can","2017",134331
"can","2018",137433
"can","2019",136491
"can","2020",114160
"can","2021",114219
"can","2022",NA
"can","2023",NA
"nzl","1990",NA
"nzl","1991",NA
"nzl","1992",NA
"nzl","1993",NA
"nzl","1994",NA
"nzl","1995",NA
"nzl","1996",NA
"nzl","1997",NA
"nzl","1998",NA
"nzl","1999",NA
"nzl","2000",NA
"nzl","2001",NA
"nzl","2002",NA
"nzl","2003",NA
"nzl","2004",NA
"nzl","2005",NA
"nzl","2006",NA
"nzl","2007",NA
"nzl","2008",7865.6895322
"nzl","2009",7913.5432498
"nzl","2010",7906.1827746
"nzl","2011",7912.0602417
"nzl","2012",7867.0269713
"nzl","2013",7820.9227723
"nzl","2014",7993.9519058
"nzl","2015",8397.5593267
"nzl","2016",8579.3230493
"nzl","2017",8912.4095189
"nzl","2018",8850.6652452
"nzl","2019",8851.1965219
"nzl","2020",8271.8469107
"nzl","2021",8631.7721541
"nzl","2022",NA
"nzl","2023",NA
"gbr","1990",NA
"gbr","1991",NA
"gbr","1992",NA
"gbr","1993",NA
"gbr","1994",NA
"gbr","1995",NA
"gbr","1996",NA
"gbr","1997",NA
"gbr","1998",NA
"gbr","1999",NA
"gbr","2000",NA
"gbr","2001",NA
"gbr","2002",NA
"gbr","2003",NA
"gbr","2004",NA
"gbr","2005",NA
"gbr","2006",NA
"gbr","2007",NA
"gbr","2008",153317.6
"gbr","2009",149093
"gbr","2010",157503.9
"gbr","2011",139181.4
"gbr","2012",146065.1
"gbr","2013",148147.4
"gbr","2014",136001.6
"gbr","2015",139976.4
"gbr","2016",142422
"gbr","2017",141389.9
"gbr","2018",144174.1
"gbr","2019",140918
"gbr","2020",125152.7
"gbr","2021",134761.9
"gbr","2022",129689.3
"gbr","2023",NA
"aut","1990",NA
"aut","1991",NA
"aut","1992",NA
"aut","1993",NA
"aut","1994",NA
"aut","1995",NA
"aut","1996",NA
"aut","1997",NA
"aut","1998",NA
"aut","1999",NA
"aut","2000",NA
"aut","2001",NA
"aut","2002",NA
"aut","2003",NA
"aut","2004",NA
"aut","2005",NA
"aut","2006",NA
"aut","2007",NA
"aut","2008",0
"aut","2009",0
"aut","2010",0
"aut","2011",0
"aut","2012",0
"aut","2013",0
"aut","2014",0
"aut","2015",0
"aut","2016",0
"aut","2017",0
"aut","2018",0
"aut","2019",0
"aut","2020",0
"aut","2021",0
"aut","2022",0
"aut","2023",NA
"bel","1990",NA
"bel","1991",NA
"bel","1992",NA
"bel","1993",NA
"bel","1994",NA
"bel","1995",NA
"bel","1996",NA
"bel","1997",NA
"bel","1998",NA
"bel","1999",NA
"bel","2000",NA
"bel","2001",NA
"bel","2002",NA
"bel","2003",NA
"bel","2004",NA
"bel","2005",NA
"bel","2006",NA
"bel","2007",NA
"bel","2008",41.87463
"bel","2009",43.76997
"bel","2010",45.51446
"bel","2011",35.51512
"bel","2012",38.39043
"bel","2013",42.42767
"bel","2014",69.299
"bel","2015",80.97718
"bel","2016",128.08633
"bel","2017",160.78062
"bel","2018",169.00307
"bel","2019",164.88305
"bel","2020",132.65336
"bel","2021",148.89888
"bel","2022",157.76477
"bel","2023",NA
"bgr","1990",NA
"bgr","1991",NA
"bgr","1992",NA
"bgr","1993",NA
"bgr","1994",NA
"bgr","1995",NA
"bgr","1996",NA
"bgr","1997",NA
"bgr","1998",NA
"bgr","1999",NA
"bgr","2000",NA
"bgr","2001",NA
"bgr","2002",NA
"bgr","2003",NA
"bgr","2004",NA
"bgr","2005",NA
"bgr","2006",NA
"bgr","2007",NA
"bgr","2008",0
"bgr","2009",0
"bgr","2010",0
"bgr","2011",0
"bgr","2012",0
"bgr","2013",0
"bgr","2014",0
"bgr","2015",0
"bgr","2016",0
"bgr","2017",0
"bgr","2018",0
"bgr","2019",0
"bgr","2020",0
"bgr","2021",0
"bgr","2022",0
"bgr","2023",NA
"hrv","1990",NA
"hrv","1991",NA
"hrv","1992",NA
"hrv","1993",NA
"hrv","1994",NA
"hrv","1995",NA
"hrv","1996",NA
"hrv","1997",NA
"hrv","1998",NA
"hrv","1999",NA
"hrv","2000",NA
"hrv","2001",NA
"hrv","2002",NA
"hrv","2003",NA
"hrv","2004",NA
"hrv","2005",NA
"hrv","2006",NA
"hrv","2007",NA
"hrv","2008",33.65687
"hrv","2009",32.57119
"hrv","2010",32.15144
"hrv","2011",31.83032
"hrv","2012",29.77974
"hrv","2013",28.68407
"hrv","2014",28.84122
"hrv","2015",29.95946
"hrv","2016",30.10439
"hrv","2017",30.55433
"hrv","2018",31.42939
"hrv","2019",31.83775
"hrv","2020",31.38531
"hrv","2021",32.93966
"hrv","2022",31.68295
"hrv","2023",NA
"cyp","1990",NA
"cyp","1991",NA
"cyp","1992",NA
"cyp","1993",NA
"cyp","1994",NA
"cyp","1995",NA
"cyp","1996",NA
"cyp","1997",NA
"cyp","1998",NA
"cyp","1999",NA
"cyp","2000",NA
"cyp","2001",NA
"cyp","2002",NA
"cyp","2003",NA
"cyp","2004",NA
"cyp","2005",NA
"cyp","2006",NA
"cyp","2007",NA
"cyp","2008",3.98269
"cyp","2009",4.39524
"cyp","2010",3.73759
"cyp","2011",4.25031
"cyp","2012",4.13143
"cyp","2013",3.39834
"cyp","2014",3.07334
"cyp","2015",3.60818
"cyp","2016",3.63787
"cyp","2017",3.5875
"cyp","2018",2.94044
"cyp","2019",3.38365
"cyp","2020",3.3336
"cyp","2021",3.02274
"cyp","2022",3.03966
"cyp","2023",NA
"cze","1990",NA
"cze","1991",NA
"cze","1992",NA
"cze","1993",NA
"cze","1994",NA
"cze","1995",NA
"cze","1996",NA
"cze","1997",NA
"cze","1998",NA
"cze","1999",NA
"cze","2000",NA
"cze","2001",NA
"cze","2002",NA
"cze","2003",NA
"cze","2004",NA
"cze","2005",NA
"cze","2006",NA
"cze","2007",NA
"cze","2008",0
"cze","2009",0
"cze","2010",0
"cze","2011",0
"cze","2012",0
"cze","2013",0
"cze","2014",0
"cze","2015",0
"cze","2016",0
"cze","2017",0
"cze","2018",0
"cze","2019",0
"cze","2020",0
"cze","2021",0
"cze","2022",0
"cze","2023",NA
"dnk","1990",NA
"dnk","1991",NA
"dnk","1992",NA
"dnk","1993",NA
"dnk","1994",NA
"dnk","1995",NA
"dnk","1996",NA
"dnk","1997",NA
"dnk","1998",NA
"dnk","1999",NA
"dnk","2000",NA
"dnk","2001",NA
"dnk","2002",NA
"dnk","2003",NA
"dnk","2004",NA
"dnk","2005",NA
"dnk","2006",NA
"dnk","2007",NA
"dnk","2008",0.00103
"dnk","2009",0.00105
"dnk","2010",0.00117
"dnk","2011",0.00155
"dnk","2012",0.00194
"dnk","2013",0.00232
"dnk","2014",0.00138
"dnk","2015",0.00095
"dnk","2016",0.00147
"dnk","2017",0.00109
"dnk","2018",0.00166
"dnk","2019",0.00085
"dnk","2020",9e-04
"dnk","2021",0.00116
"dnk","2022",0.00119
"dnk","2023",NA
"est","1990",NA
"est","1991",NA
"est","1992",NA
"est","1993",NA
"est","1994",NA
"est","1995",NA
"est","1996",NA
"est","1997",NA
"est","1998",NA
"est","1999",NA
"est","2000",NA
"est","2001",NA
"est","2002",NA
"est","2003",NA
"est","2004",NA
"est","2005",NA
"est","2006",NA
"est","2007",NA
"est","2008",0.03842
"est","2009",0.0351
"est","2010",0.03479
"est","2011",0.05657
"est","2012",0.05874
"est","2013",0.05906
"est","2014",0.05946
"est","2015",0
"est","2016",0
"est","2017",0
"est","2018",0
"est","2019",0
"est","2020",0
"est","2021",0
"est","2022",0
"est","2023",NA
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",NA
NA,"2001",NA
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",107.15896
NA,"2009",111.81223
NA,"2010",114.71308
NA,"2011",106.26006
NA,"2012",107.62977
NA,"2013",109.2629
NA,"2014",136.18137
NA,"2015",149.80957
NA,"2016",197.39561
NA,"2017",231.03395
NA,"2018",239.53452
NA,"2019",242.36083
NA,"2020",198.7367
NA,"2021",234.90628
NA,"2022",238.73133
NA,"2023",NA
"fin","1990",NA
"fin","1991",NA
"fin","1992",NA
"fin","1993",NA
"fin","1994",NA
"fin","1995",NA
"fin","1996",NA
"fin","1997",NA
"fin","1998",NA
"fin","1999",NA
"fin","2000",NA
"fin","2001",NA
"fin","2002",NA
"fin","2003",NA
"fin","2004",NA
"fin","2005",NA
"fin","2006",NA
"fin","2007",NA
"fin","2008",0
"fin","2009",0
"fin","2010",0
"fin","2011",0
"fin","2012",0
"fin","2013",0
"fin","2014",0
"fin","2015",0
"fin","2016",0.02642
"fin","2017",0.039
"fin","2018",0.0276
"fin","2019",0.03947
"fin","2020",0.05061
"fin","2021",0.05063
"fin","2022",0.04506
"fin","2023",NA
"fra","1990",NA
"fra","1991",NA
"fra","1992",NA
"fra","1993",NA
"fra","1994",NA
"fra","1995",NA
"fra","1996",NA
"fra","1997",NA
"fra","1998",NA
"fra","1999",NA
"fra","2000",NA
"fra","2001",NA
"fra","2002",NA
"fra","2003",NA
"fra","2004",NA
"fra","2005",NA
"fra","2006",NA
"fra","2007",NA
"fra","2008",25.66778
"fra","2009",29.83483
"fra","2010",31.93339
"fra","2011",32.88771
"fra","2012",33.39097
"fra","2013",32.91718
"fra","2014",33.44818
"fra","2015",34.35091
"fra","2016",34.4853
"fra","2017",34.93496
"fra","2018",34.3683
"fra","2019",32.38813
"fra","2020",30.542
"fra","2021",28.97267
"fra","2022",24.90274
"fra","2023",NA
"deu","1990",NA
"deu","1991",NA
"deu","1992",NA
"deu","1993",NA
"deu","1994",NA
"deu","1995",NA
"deu","1996",NA
"deu","1997",NA
"deu","1998",NA
"deu","1999",NA
"deu","2000",NA
"deu","2001",NA
"deu","2002",NA
"deu","2003",NA
"deu","2004",NA
"deu","2005",NA
"deu","2006",NA
"deu","2007",NA
"deu","2008",0.02959
