"country","year","ae_ton_info"
"aut","1990",NA
"aut","1991",NA
"aut","1992",NA
"aut","1993",NA
"aut","1994",NA
"aut","1995",NA
"aut","1996",NA
"aut","1997",NA
"aut","1998",NA
"aut","1999",NA
"aut","2000",NA
"aut","2001",NA
"aut","2002",NA
"aut","2003",NA
"aut","2004",NA
"aut","2005",NA
"aut","2006",NA
"aut","2007",NA
"aut","2008",117.921
"aut","2009",100.96785
"aut","2010",107.12866
"aut","2011",93.1528
"aut","2012",83.23999
"aut","2013",80.40876
"aut","2014",71.31311
"aut","2015",66.6585
"aut","2016",53.91483
"aut","2017",54.77776
"aut","2018",64.53716
"aut","2019",59.29679
"aut","2020",61.92844
"aut","2021",70.87329
"aut","2022",63.07487
"aut","2023",NA
"bel","1990",NA
"bel","1991",NA
"bel","1992",NA
"bel","1993",NA
"bel","1994",NA
"bel","1995",NA
"bel","1996",NA
"bel","1997",NA
"bel","1998",NA
"bel","1999",NA
"bel","2000",NA
"bel","2001",NA
"bel","2002",NA
"bel","2003",NA
"bel","2004",NA
"bel","2005",NA
"bel","2006",NA
"bel","2007",NA
"bel","2008",242.45004
"bel","2009",261.52931
"bel","2010",277.85495
"bel","2011",262.84124
"bel","2012",270.18464
"bel","2013",309.98377
"bel","2014",293.3487
"bel","2015",276.55518
"bel","2016",276.8634
"bel","2017",292.9358
"bel","2018",286.36618
"bel","2019",301.68905
"bel","2020",257.85989
"bel","2021",274.0876
"bel","2022",242.34229
"bel","2023",NA
"bgr","1990",NA
"bgr","1991",NA
"bgr","1992",NA
"bgr","1993",NA
"bgr","1994",NA
"bgr","1995",NA
"bgr","1996",NA
"bgr","1997",NA
"bgr","1998",NA
"bgr","1999",NA
"bgr","2000",NA
"bgr","2001",NA
"bgr","2002",NA
"bgr","2003",NA
"bgr","2004",NA
"bgr","2005",NA
"bgr","2006",NA
"bgr","2007",NA
"bgr","2008",35.83958
"bgr","2009",35.83311
"bgr","2010",34.42135
"bgr","2011",33.45874
"bgr","2012",33.71678
"bgr","2013",28.77747
"bgr","2014",32.75796
"bgr","2015",31.19783
"bgr","2016",31.83053
"bgr","2017",33.45167
"bgr","2018",30.74226
"bgr","2019",28.04772
"bgr","2020",22.92149
"bgr","2021",27.4003
"bgr","2022",24.88856
"bgr","2023",NA
"can","1990",NA
"can","1991",NA
"can","1992",NA
"can","1993",NA
"can","1994",NA
"can","1995",NA
"can","1996",NA
"can","1997",NA
"can","1998",NA
"can","1999",NA
"can","2000",NA
"can","2001",NA
"can","2002",NA
"can","2003",NA
"can","2004",NA
"can","2005",NA
"can","2006",NA
"can","2007",NA
"can","2008",NA
"can","2009",1531
"can","2010",1358
"can","2011",1223
"can","2012",1229
"can","2013",1126
"can","2014",1122
"can","2015",1214
"can","2016",2004
"can","2017",2239
"can","2018",2083
"can","2019",2131
"can","2020",1632
"can","2021",1697
"can","2022",NA
"can","2023",NA
"hrv","1990",NA
"hrv","1991",NA
"hrv","1992",NA
"hrv","1993",NA
"hrv","1994",NA
"hrv","1995",NA
"hrv","1996",NA
"hrv","1997",NA
"hrv","1998",NA
"hrv","1999",NA
"hrv","2000",NA
"hrv","2001",NA
"hrv","2002",NA
"hrv","2003",NA
"hrv","2004",NA
"hrv","2005",NA
"hrv","2006",NA
"hrv","2007",NA
"hrv","2008",90.20142
"hrv","2009",91.57702
"hrv","2010",95.02263
"hrv","2011",91.62208
"hrv","2012",85.98569
"hrv","2013",85.64492
"hrv","2014",82.71097
"hrv","2015",93.7496
"hrv","2016",99.0488
"hrv","2017",109.10142
"hrv","2018",110.04683
"hrv","2019",113.4485
"hrv","2020",108.30917
"hrv","2021",120.22204
"hrv","2022",121.20601
"hrv","2023",NA
"cyp","1990",NA
"cyp","1991",NA
"cyp","1992",NA
"cyp","1993",NA
"cyp","1994",NA
"cyp","1995",NA
"cyp","1996",NA
"cyp","1997",NA
"cyp","1998",NA
"cyp","1999",NA
"cyp","2000",NA
"cyp","2001",NA
"cyp","2002",NA
"cyp","2003",NA
"cyp","2004",NA
"cyp","2005",NA
"cyp","2006",NA
"cyp","2007",NA
"cyp","2008",10.1473
"cyp","2009",10.69939
"cyp","2010",11.22945
"cyp","2011",10.78004
"cyp","2012",11.65551
"cyp","2013",10.4342
"cyp","2014",9.92164
"cyp","2015",10.48428
"cyp","2016",10.40848
"cyp","2017",11.51874
"cyp","2018",11.07305
"cyp","2019",11.31011
"cyp","2020",11.17202
"cyp","2021",12.12811
"cyp","2022",12.17883
"cyp","2023",NA
"cze","1990",NA
"cze","1991",NA
"cze","1992",NA
"cze","1993",NA
"cze","1994",NA
"cze","1995",NA
"cze","1996",NA
"cze","1997",NA
"cze","1998",NA
"cze","1999",NA
"cze","2000",NA
"cze","2001",NA
"cze","2002",NA
"cze","2003",NA
"cze","2004",NA
"cze","2005",NA
"cze","2006",NA
"cze","2007",NA
"cze","2008",108.05106
"cze","2009",110.91034
"cze","2010",112.10548
"cze","2011",105.56727
"cze","2012",100.94034
"cze","2013",88.45573
"cze","2014",88.19849
"cze","2015",395.23683
"cze","2016",95.87709
"cze","2017",98.1425
"cze","2018",100.31284
"cze","2019",102.14446
"cze","2020",71.74757
"cze","2021",78.97374
"cze","2022",75.95707
"cze","2023",NA
"dnk","1990",NA
"dnk","1991",NA
"dnk","1992",NA
"dnk","1993",NA
"dnk","1994",NA
"dnk","1995",NA
"dnk","1996",NA
"dnk","1997",NA
"dnk","1998",NA
"dnk","1999",NA
"dnk","2000",NA
"dnk","2001",NA
"dnk","2002",NA
"dnk","2003",NA
"dnk","2004",NA
"dnk","2005",NA
"dnk","2006",NA
"dnk","2007",NA
"dnk","2008",134.85543
"dnk","2009",117.78448
"dnk","2010",114.72834
"dnk","2011",105.66214
"dnk","2012",97.71325
"dnk","2013",78.82517
"dnk","2014",73.24196
"dnk","2015",77.45734
"dnk","2016",91.23837
"dnk","2017",92.05498
"dnk","2018",85.89034
"dnk","2019",80.58966
"dnk","2020",74.28795
"dnk","2021",94.66829
