"country","year","env_rnd"
"arg","1990",NA
"arg","1991",NA
"arg","1992",NA
"arg","1993",NA
"arg","1994",NA
"arg","1995",NA
"arg","1996",NA
"arg","1997",NA
"arg","1998",NA
"arg","1999",NA
"arg","2000",0
"arg","2001",0
"arg","2002",0
"arg","2003",0
"arg","2004",0
"arg","2005",0
"arg","2006",0
"arg","2007",0
"arg","2008",0.02
"arg","2009",NA
"arg","2010",NA
"arg","2011",NA
"arg","2012",NA
"arg","2013",NA
"arg","2014",NA
"arg","2015",NA
"arg","2016",NA
"arg","2017",NA
"arg","2018",NA
"arg","2019",NA
"arg","2020",NA
"arg","2021",NA
"arg","2022",NA
"arg","2023",NA
"rou","1990",NA
"rou","1991",NA
"rou","1992",NA
"rou","1993",0
"rou","1994",0
"rou","1995",0
"rou","1996",0
"rou","1997",0
"rou","1998",0
"rou","1999",0
"rou","2000",0
"rou","2001",0
"rou","2002",0
"rou","2003",0
"rou","2004",0
"rou","2005",0
"rou","2006",0
"rou","2007",NA
"rou","2008",0.03
"rou","2009",0.02
"rou","2010",0.02
"rou","2011",NA
"rou","2012",NA
"rou","2013",NA
"rou","2014",NA
"rou","2015",NA
"rou","2016",NA
"rou","2017",NA
"rou","2018",NA
"rou","2019",NA
"rou","2020",NA
"rou","2021",NA
"rou","2022",NA
"rou","2023",NA
"rus","1990",NA
"rus","1991",NA
"rus","1992",NA
"rus","1993",NA
"rus","1994",0
"rus","1995",NA
"rus","1996",NA
"rus","1997",NA
"rus","1998",0
"rus","1999",NA
"rus","2000",0
"rus","2001",NA
"rus","2002",0
"rus","2003",NA
"rus","2004",0
"rus","2005",NA
"rus","2006",0
"rus","2007",NA
"rus","2008",0.01
"rus","2009",NA
"rus","2010",0.01
"rus","2011",0.01
"rus","2012",0.01
"rus","2013",0.01
"rus","2014",0.01
"rus","2015",0.01
"rus","2016",NA
"rus","2017",NA
"rus","2018",NA
"rus","2019",NA
"rus","2020",NA
"rus","2021",NA
"rus","2022",NA
"rus","2023",NA
"zaf","1990",NA
"zaf","1991",NA
"zaf","1992",NA
"zaf","1993",NA
"zaf","1994",NA
"zaf","1995",NA
"zaf","1996",NA
"zaf","1997",NA
"zaf","1998",NA
"zaf","1999",NA
"zaf","2000",NA
"zaf","2001",0
"zaf","2002",NA
"zaf","2003",0
"zaf","2004",0
"zaf","2005",0
"zaf","2006",0
"zaf","2007",0
"zaf","2008",0.04
"zaf","2009",0.04
"zaf","2010",0.03
