"country","year","exp_total"
"afg","1990",NA
"afg","1991",NA
"afg","1992",NA
"afg","1993",NA
"afg","1994",NA
"afg","1995",NA
"afg","1996",NA
"afg","1997",NA
"afg","1998",NA
"afg","1999",NA
"afg","2000",NA
"afg","2001",NA
"afg","2002",NA
"afg","2003",NA
"afg","2004",NA
"afg","2005",NA
"afg","2006",NA
"afg","2007",NA
"afg","2008",177268
"afg","2009",119112
"afg","2010",348838
"afg","2011",113774
"afg","2012",417437
"afg","2013",235849
"afg","2014",131073
"afg","2015",142454
"afg","2016",67229
"afg","2017",119070
"afg","2018",77426
"afg","2019",56165
"afg","2020",64203
"afg","2021",41935
"afg","2022",13765
"afg","2023",1
"alb","1990",NA
"alb","1991",NA
"alb","1992",NA
"alb","1993",NA
"alb","1994",NA
"alb","1995",NA
"alb","1996",NA
"alb","1997",NA
"alb","1998",NA
"alb","1999",NA
"alb","2000",NA
"alb","2001",NA
"alb","2002",NA
"alb","2003",NA
"alb","2004",NA
"alb","2005",NA
"alb","2006",NA
"alb","2007",NA
"alb","2008",97750
"alb","2009",101247
"alb","2010",85672
"alb","2011",70533
"alb","2012",75282
"alb","2013",60469
"alb","2014",69244
"alb","2015",67307
"alb","2016",80456
"alb","2017",54286
"alb","2018",64274
"alb","2019",104652
"alb","2020",110378
"alb","2021",75617
"alb","2022",184818
"alb","2023",1
"dza","1990",NA
"dza","1991",NA
"dza","1992",NA
"dza","1993",NA
"dza","1994",NA
"dza","1995",NA
"dza","1996",NA
"dza","1997",NA
"dza","1998",NA
"dza","1999",NA
"dza","2000",NA
"dza","2001",NA
"dza","2002",NA
"dza","2003",NA
"dza","2004",NA
"dza","2005",NA
"dza","2006",NA
"dza","2007",NA
"dza","2008",2153229
"dza","2009",2782790
"dza","2010",3005178
"dza","2011",3284049
"dza","2012",3025280
"dza","2013",3344745
"dza","2014",3868343
"dza","2015",4026159
"dza","2016",3220850
"dza","2017",2081703
"dza","2018",2643947
"dza","2019",2806917
"dza","2020",3332364
"dza","2021",2464208
"dza","2022",3071573
"dza","2023",1
"vir","1990",NA
"vir","1991",NA
"vir","1992",NA
"vir","1993",NA
"vir","1994",NA
"vir","1995",NA
"vir","1996",NA
"vir","1997",NA
"vir","1998",NA
"vir","1999",NA
"vir","2000",NA
"vir","2001",NA
"vir","2002",NA
"vir","2003",NA
"vir","2004",NA
"vir","2005",NA
"vir","2006",NA
"vir","2007",NA
"vir","2008",5534
"vir","2009",5257
"vir","2010",5827
"vir","2011",10024
"vir","2012",17069
"vir","2013",35068
"vir","2014",9010
"vir","2015",32433
"vir","2016",63872
"vir","2017",10702
"vir","2018",782
"vir","2019",32288
"vir","2020",3479
"vir","2021",2523
"vir","2022",315469
"vir","2023",1
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",NA
NA,"2001",NA
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",0
NA,"2009",0
NA,"2010",0
NA,"2011",0
NA,"2012",0
NA,"2013",0
NA,"2014",0
NA,"2015",0
NA,"2016",0
NA,"2017",0
NA,"2018",0
NA,"2019",0
NA,"2020",0
NA,"2021",0
NA,"2022",0
NA,"2023",0
"asm","1990",NA
"asm","1991",NA
"asm","1992",NA
"asm","1993",NA
"asm","1994",NA
"asm","1995",NA
"asm","1996",NA
"asm","1997",NA
"asm","1998",NA
"asm","1999",NA
"asm","2000",NA
"asm","2001",NA
"asm","2002",NA
"asm","2003",NA
"asm","2004",NA
"asm","2005",NA
"asm","2006",NA
"asm","2007",NA
"asm","2008",6579
"asm","2009",1579
"asm","2010",345
"asm","2011",589
"asm","2012",211
"asm","2013",7
"asm","2014",86
"asm","2015",4
"asm","2016",183
"asm","2017",305
"asm","2018",265
"asm","2019",59
"asm","2020",8
"asm","2021",12
"asm","2022",69
"asm","2023",1
"and","1990",NA
"and","1991",NA
"and","1992",NA
"and","1993",NA
"and","1994",NA
"and","1995",NA
"and","1996",NA
"and","1997",NA
"and","1998",NA
"and","1999",NA
"and","2000",NA
"and","2001",NA
"and","2002",NA
"and","2003",NA
"and","2004",NA
"and","2005",NA
"and","2006",NA
"and","2007",NA
"and","2008",8569
"and","2009",8435
"and","2010",10867
"and","2011",6258
"and","2012",6866
"and","2013",6069
"and","2014",7229
"and","2015",9684
"and","2016",8500
"and","2017",10847
"and","2018",17128
"and","2019",16559
"and","2020",14071
"and","2021",13730
"and","2022",18510
"and","2023",1
"ago","1990",NA
"ago","1991",NA
"ago","1992",NA
"ago","1993",NA
"ago","1994",NA
"ago","1995",NA
"ago","1996",NA
"ago","1997",NA
"ago","1998",NA
"ago","1999",NA
"ago","2000",NA
"ago","2001",NA
"ago","2002",NA
"ago","2003",NA
"ago","2004",NA
"ago","2005",NA
"ago","2006",NA
"ago","2007",NA
"ago","2008",1070383
"ago","2009",1759799
"ago","2010",700701
"ago","2011",574052
"ago","2012",586824
"ago","2013",503055
"ago","2014",746832
"ago","2015",396403
"ago","2016",116277
"ago","2017",97404
"ago","2018",107362
"ago","2019",158029
"ago","2020",153168
"ago","2021",527293
"ago","2022",751252
"ago","2023",1
"aia","1990",NA
"aia","1991",NA
"aia","1992",NA
"aia","1993",NA
"aia","1994",NA
"aia","1995",NA
"aia","1996",NA
"aia","1997",NA
"aia","1998",NA
"aia","1999",NA
"aia","2000",NA
"aia","2001",NA
"aia","2002",NA
"aia","2003",NA
"aia","2004",NA
"aia","2005",NA
"aia","2006",NA
"aia","2007",NA
"aia","2008",5054
"aia","2009",565
"aia","2010",998
"aia","2011",7773
"aia","2012",757
"aia","2013",2794
"aia","2014",2312
"aia","2015",956
"aia","2016",1641
"aia","2017",2044
"aia","2018",1174
"aia","2019",176
"aia","2020",289
"aia","2021",162
"aia","2022",835
"aia","2023",1
"ata","1990",NA
"ata","1991",NA
"ata","1992",NA
"ata","1993",NA
"ata","1994",NA
"ata","1995",NA
"ata","1996",NA
"ata","1997",NA
"ata","1998",NA
"ata","1999",NA
"ata","2000",NA
"ata","2001",NA
"ata","2002",NA
"ata","2003",NA
"ata","2004",NA
"ata","2005",NA
"ata","2006",NA
"ata","2007",NA
"ata","2008",37
"ata","2009",374
"ata","2010",0
"ata","2011",0
"ata","2012",0
"ata","2013",0
"ata","2014",42
"ata","2015",189
"ata","2016",353
"ata","2017",897
"ata","2018",128
"ata","2019",0
"ata","2020",306
"ata","2021",636
"ata","2022",356
"ata","2023",1
"atg","1990",NA
"atg","1991",NA
"atg","1992",NA
"atg","1993",NA
"atg","1994",NA
"atg","1995",NA
"atg","1996",NA
"atg","1997",NA
"atg","1998",NA
"atg","1999",NA
"atg","2000",NA
"atg","2001",NA
"atg","2002",NA
"atg","2003",NA
"atg","2004",NA
"atg","2005",NA
"atg","2006",NA
"atg","2007",NA
