"country","year","fte_total"
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",1
NA,"2001",1
NA,"2002",1
NA,"2003",1
NA,"2004",1
NA,"2005",1
NA,"2006",1
NA,"2007",1
NA,"2008",3911000
NA,"2009",4024000
NA,"2010",4185000
NA,"2011",4439000
NA,"2012",4540000
NA,"2013",4432000
NA,"2014",4274000
NA,"2015",4437000
NA,"2016",4506000
NA,"2017",4593000
NA,"2018",4663000
NA,"2019",4836000
NA,"2020",5056000
NA,"2021",5244000
NA,"2022",NA
NA,"2023",NA
