"country","year","imp_total"
"afg","1990",NA
"afg","1991",NA
"afg","1992",NA
"afg","1993",NA
"afg","1994",NA
"afg","1995",NA
"afg","1996",NA
"afg","1997",NA
"afg","1998",NA
"afg","1999",NA
"afg","2000",NA
"afg","2001",NA
"afg","2002",NA
"afg","2003",NA
"afg","2004",NA
"afg","2005",NA
"afg","2006",NA
"afg","2007",NA
"afg","2008",112
"afg","2009",2021
"afg","2010",34335
"afg","2011",5158
"afg","2012",26448
"afg","2013",31639
"afg","2014",2013
"afg","2015",897
"afg","2016",3421
"afg","2017",2615
"afg","2018",2505
"afg","2019",4214
"afg","2020",7652
"afg","2021",6762
"afg","2022",6086
"afg","2023",1
"alb","1990",NA
"alb","1991",NA
"alb","1992",NA
"alb","1993",NA
"alb","1994",NA
"alb","1995",NA
"alb","1996",NA
"alb","1997",NA
"alb","1998",NA
"alb","1999",NA
"alb","2000",NA
"alb","2001",NA
"alb","2002",NA
"alb","2003",NA
"alb","2004",NA
"alb","2005",NA
"alb","2006",NA
"alb","2007",NA
"alb","2008",73491
"alb","2009",8477
"alb","2010",62733
"alb","2011",12215
"alb","2012",5072
"alb","2013",5106
"alb","2014",6847
"alb","2015",8490
"alb","2016",37241
"alb","2017",159959
"alb","2018",179940
"alb","2019",222426
"alb","2020",202244
"alb","2021",296655
"alb","2022",664556
"alb","2023",1
"dza","1990",NA
"dza","1991",NA
"dza","1992",NA
"dza","1993",NA
"dza","1994",NA
"dza","1995",NA
"dza","1996",NA
"dza","1997",NA
"dza","1998",NA
"dza","1999",NA
"dza","2000",NA
"dza","2001",NA
"dza","2002",NA
"dza","2003",NA
"dza","2004",NA
"dza","2005",NA
"dza","2006",NA
"dza","2007",NA
"dza","2008",1117952
"dza","2009",590445
"dza","2010",663948
"dza","2011",1450202
"dza","2012",116210
"dza","2013",97073
"dza","2014",233589
"dza","2015",61611
"dza","2016",31433
"dza","2017",189131
"dza","2018",29147
"dza","2019",131855
"dza","2020",76319
"dza","2021",114241
"dza","2022",210470
"dza","2023",1
"vir","1990",NA
"vir","1991",NA
"vir","1992",NA
"vir","1993",NA
"vir","1994",NA
"vir","1995",NA
"vir","1996",NA
"vir","1997",NA
"vir","1998",NA
"vir","1999",NA
"vir","2000",NA
"vir","2001",NA
"vir","2002",NA
"vir","2003",NA
"vir","2004",NA
"vir","2005",NA
"vir","2006",NA
"vir","2007",NA
"vir","2008",245
"vir","2009",233
"vir","2010",10498
"vir","2011",2586
"vir","2012",3371
"vir","2013",14939
"vir","2014",64
"vir","2015",25398
"vir","2016",191
"vir","2017",17515
"vir","2018",44
"vir","2019",40
"vir","2020",144
"vir","2021",10
"vir","2022",7
"vir","2023",1
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",NA
NA,"2001",NA
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",0
NA,"2009",0
NA,"2010",0
NA,"2011",0
NA,"2012",0
NA,"2013",0
NA,"2014",0
NA,"2015",0
NA,"2016",0
NA,"2017",0
NA,"2018",0
NA,"2019",0
NA,"2020",0
NA,"2021",0
NA,"2022",0
NA,"2023",0
"asm","1990",NA
"asm","1991",NA
"asm","1992",NA
"asm","1993",NA
"asm","1994",NA
"asm","1995",NA
"asm","1996",NA
"asm","1997",NA
"asm","1998",NA
"asm","1999",NA
"asm","2000",NA
"asm","2001",NA
"asm","2002",NA
"asm","2003",NA
"asm","2004",NA
"asm","2005",NA
"asm","2006",NA
"asm","2007",NA
"asm","2008",0
"asm","2009",0
"asm","2010",0
"asm","2011",838
"asm","2012",2226
"asm","2013",2220
"asm","2014",565
"asm","2015",0
"asm","2016",3
"asm","2017",0
"asm","2018",71
"asm","2019",406
"asm","2020",2260
"asm","2021",113
"asm","2022",2522
"asm","2023",1
"and","1990",NA
"and","1991",NA
"and","1992",NA
"and","1993",NA
"and","1994",NA
"and","1995",NA
"and","1996",NA
"and","1997",NA
"and","1998",NA
"and","1999",NA
"and","2000",NA
"and","2001",NA
"and","2002",NA
"and","2003",NA
"and","2004",NA
"and","2005",NA
"and","2006",NA
"and","2007",NA
"and","2008",209
"and","2009",1872
"and","2010",916
"and","2011",339
"and","2012",41
"and","2013",455
"and","2014",14
"and","2015",381
"and","2016",926
"and","2017",1160
"and","2018",1964
"and","2019",1040
"and","2020",460
"and","2021",942
"and","2022",526
"and","2023",1
"ago","1990",NA
"ago","1991",NA
"ago","1992",NA
"ago","1993",NA
"ago","1994",NA
"ago","1995",NA
"ago","1996",NA
"ago","1997",NA
"ago","1998",NA
"ago","1999",NA
"ago","2000",NA
"ago","2001",NA
"ago","2002",NA
"ago","2003",NA
"ago","2004",NA
"ago","2005",NA
"ago","2006",NA
"ago","2007",NA
"ago","2008",965127
"ago","2009",4235219
"ago","2010",485
"ago","2011",174509
"ago","2012",615913
"ago","2013",1427
"ago","2014",406409
"ago","2015",10303
"ago","2016",8419
"ago","2017",956
"ago","2018",881
"ago","2019",886963
"ago","2020",2205
"ago","2021",61
"ago","2022",110860
"ago","2023",1
"aia","1990",NA
"aia","1991",NA
"aia","1992",NA
"aia","1993",NA
"aia","1994",NA
"aia","1995",NA
"aia","1996",NA
"aia","1997",NA
"aia","1998",NA
"aia","1999",NA
"aia","2000",NA
"aia","2001",NA
"aia","2002",NA
"aia","2003",NA
"aia","2004",NA
"aia","2005",NA
"aia","2006",NA
"aia","2007",NA
"aia","2008",0
"aia","2009",0
"aia","2010",0
"aia","2011",1170
"aia","2012",0
"aia","2013",69
"aia","2014",5
"aia","2015",0
"aia","2016",135
"aia","2017",4050
"aia","2018",234
"aia","2019",15
"aia","2020",1599
"aia","2021",0
"aia","2022",0
"aia","2023",1
"ata","1990",NA
"ata","1991",NA
"ata","1992",NA
"ata","1993",NA
"ata","1994",NA
"ata","1995",NA
"ata","1996",NA
"ata","1997",NA
"ata","1998",NA
"ata","1999",NA
"ata","2000",NA
"ata","2001",NA
"ata","2002",NA
"ata","2003",NA
"ata","2004",NA
"ata","2005",NA
"ata","2006",NA
"ata","2007",NA
"ata","2008",0
"ata","2009",0
"ata","2010",0
"ata","2011",0
"ata","2012",0
"ata","2013",0
"ata","2014",0
"ata","2015",0
"ata","2016",286
"ata","2017",0
"ata","2018",0
"ata","2019",0
"ata","2020",0
"ata","2021",0
"ata","2022",154
"ata","2023",0
"atg","1990",NA
"atg","1991",NA
"atg","1992",NA
"atg","1993",NA
"atg","1994",NA
"atg","1995",NA
"atg","1996",NA
"atg","1997",NA
"atg","1998",NA
"atg","1999",NA
"atg","2000",NA
"atg","2001",NA
"atg","2002",NA
"atg","2003",NA
"atg","2004",NA
"atg","2005",NA
"atg","2006",NA
"atg","2007",NA
"atg","2008",4
"atg","2009",6865
"atg","2010",961
"atg","2011",49
"atg","2012",965
