"country","year","out_gdp_total"
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",1
NA,"2001",1
NA,"2002",1
NA,"2003",1
NA,"2004",1
NA,"2005",1
NA,"2006",1
NA,"2007",1
NA,"2008",4.82
NA,"2009",4.84
NA,"2010",5.18
NA,"2011",5.56
NA,"2012",5.66
NA,"2013",5.62
NA,"2014",5.4
NA,"2015",5.39
NA,"2016",5.39
NA,"2017",5.43
NA,"2018",5.53
NA,"2019",5.57
NA,"2020",5.94
NA,"2021",6.4
NA,"2022",NA
NA,"2023",NA
