"country","year","out_mil_agri"
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",1
NA,"2001",1
NA,"2002",1
NA,"2003",1
NA,"2004",1
NA,"2005",1
NA,"2006",1
NA,"2007",1
NA,"2008",20541
NA,"2009",20456
NA,"2010",24285
NA,"2011",28171
NA,"2012",29956
NA,"2013",31817
NA,"2014",31665
NA,"2015",34743
NA,"2016",36891
NA,"2017",41052
NA,"2018",43935
NA,"2019",46766
NA,"2020",50397
NA,"2021",56817
NA,"2022",NA
NA,"2023",NA
