"country","year","out_mil_mine"
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",1
NA,"2001",1
NA,"2002",1
NA,"2003",1
NA,"2004",1
NA,"2005",1
NA,"2006",1
NA,"2007",1
NA,"2008",94702
NA,"2009",84445
NA,"2010",102269
NA,"2011",115863
NA,"2012",119198
NA,"2013",106945
NA,"2014",104789
NA,"2015",104330
NA,"2016",106254
NA,"2017",108423
NA,"2018",104100
NA,"2019",109407
NA,"2020",105704
NA,"2021",127518
NA,"2022",NA
NA,"2023",NA
