"country","year","total_fte_elec"
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",1
NA,"2001",1
NA,"2002",1
NA,"2003",1
NA,"2004",1
NA,"2005",1
NA,"2006",1
NA,"2007",1
NA,"2008",1234000
NA,"2009",1253000
NA,"2010",1254000
NA,"2011",1286000
NA,"2012",1325000
NA,"2013",1368000
NA,"2014",1397000
NA,"2015",1433000
NA,"2016",1454000
NA,"2017",1468000
NA,"2018",1500000
NA,"2019",1564000
NA,"2020",1594000
NA,"2021",1626000
NA,"2022",NA
NA,"2023",NA
