"country","year","ae_cap_other"
"aut","1990",NA
"aut","1991",NA
"aut","1992",NA
"aut","1993",NA
"aut","1994",NA
"aut","1995",NA
"aut","1996",NA
"aut","1997",NA
"aut","1998",NA
"aut","1999",NA
"aut","2000",NA
"aut","2001",NA
"aut","2002",NA
"aut","2003",NA
"aut","2004",NA
"aut","2005",NA
"aut","2006",NA
"aut","2007",NA
"aut","2008",24.27001
"aut","2009",18.64883
"aut","2010",15.19645
"aut","2011",12.26786
"aut","2012",9.88795
"aut","2013",7.83525
"aut","2014",9.16611
"aut","2015",9.32773
"aut","2016",9.44114
"aut","2017",11.91317
"aut","2018",12.16781
"aut","2019",21.79778
"aut","2020",21.92909
"aut","2021",25.67694
"aut","2022",22.96729
"aut","2023",NA
"bel","1990",NA
"bel","1991",NA
"bel","1992",NA
"bel","1993",NA
"bel","1994",NA
"bel","1995",NA
"bel","1996",NA
"bel","1997",NA
"bel","1998",NA
"bel","1999",NA
"bel","2000",NA
"bel","2001",NA
"bel","2002",NA
"bel","2003",NA
"bel","2004",NA
"bel","2005",NA
"bel","2006",NA
"bel","2007",NA
"bel","2008",28.63357
"bel","2009",30.41358
"bel","2010",31.7248
"bel","2011",26.87564
"bel","2012",27.08598
"bel","2013",30.83423
"bel","2014",36.45008
"bel","2015",40.92927
"bel","2016",45.13866
"bel","2017",52.37082
"bel","2018",54.05126
"bel","2019",54.07297
"bel","2020",40.78889
"bel","2021",44.89111
"bel","2022",40.29517
"bel","2023",NA
"bgr","1990",NA
"bgr","1991",NA
"bgr","1992",NA
"bgr","1993",NA
"bgr","1994",NA
"bgr","1995",NA
"bgr","1996",NA
"bgr","1997",NA
"bgr","1998",NA
"bgr","1999",NA
"bgr","2000",NA
"bgr","2001",NA
"bgr","2002",NA
"bgr","2003",NA
"bgr","2004",NA
"bgr","2005",NA
"bgr","2006",NA
"bgr","2007",NA
"bgr","2008",4.33803
"bgr","2009",4.23012
"bgr","2010",3.96702
"bgr","2011",3.76311
"bgr","2012",3.7874
"bgr","2013",3.25458
"bgr","2014",3.32868
"bgr","2015",2.06613
"bgr","2016",2.3872
"bgr","2017",2.81437
"bgr","2018",2.84332
"bgr","2019",3.23575
"bgr","2020",2.60468
"bgr","2021",3.21885
"bgr","2022",3.18767
"bgr","2023",NA
"hrv","1990",NA
"hrv","1991",NA
"hrv","1992",NA
"hrv","1993",NA
"hrv","1994",NA
"hrv","1995",NA
"hrv","1996",NA
"hrv","1997",NA
"hrv","1998",NA
"hrv","1999",NA
"hrv","2000",NA
"hrv","2001",NA
"hrv","2002",NA
"hrv","2003",NA
"hrv","2004",NA
"hrv","2005",NA
"hrv","2006",NA
"hrv","2007",NA
"hrv","2008",20.71114
"hrv","2009",20.95796
"hrv","2010",21.76
"hrv","2011",21.0078
"hrv","2012",19.57172
"hrv","2013",19.74234
"hrv","2014",18.79505
"hrv","2015",21.25299
"hrv","2016",22.5089
"hrv","2017",25.68862
"hrv","2018",26.00688
"hrv","2019",27.1703
"hrv","2020",25.95558
"hrv","2021",29.59615
"hrv","2022",30.09542
"hrv","2023",NA
"cyp","1990",NA
"cyp","1991",NA
"cyp","1992",NA
"cyp","1993",NA
"cyp","1994",NA
"cyp","1995",NA
"cyp","1996",NA
"cyp","1997",NA
"cyp","1998",NA
"cyp","1999",NA
"cyp","2000",NA
"cyp","2001",NA
"cyp","2002",NA
"cyp","2003",NA
"cyp","2004",NA
"cyp","2005",NA
"cyp","2006",NA
"cyp","2007",NA
"cyp","2008",22.69876
"cyp","2009",21.06222
"cyp","2010",23.93428
"cyp","2011",17.69095
"cyp","2012",20.59292
"cyp","2013",20.49934
"cyp","2014",18.52212
"cyp","2015",20.61295
"cyp","2016",21.91219
"cyp","2017",22.29677
"cyp","2018",21.3223
"cyp","2019",24.89172
"cyp","2020",16.49605
"cyp","2021",17.34375
"cyp","2022",17.17104
"cyp","2023",NA
"cze","1990",NA
"cze","1991",NA
"cze","1992",NA
"cze","1993",NA
"cze","1994",NA
"cze","1995",NA
"cze","1996",NA
"cze","1997",NA
"cze","1998",NA
"cze","1999",NA
"cze","2000",NA
"cze","2001",NA
"cze","2002",NA
"cze","2003",NA
"cze","2004",NA
"cze","2005",NA
"cze","2006",NA
"cze","2007",NA
"cze","2008",5.22582
"cze","2009",5.6111
"cze","2010",5.78934
"cze","2011",5.47769
"cze","2012",5.07327
"cze","2013",4.6457
"cze","2014",4.86145
"cze","2015",4.54555
"cze","2016",4.60763
"cze","2017",3.32049
"cze","2018",4.37698
"cze","2019",3.9451
"cze","2020",2.81576
"cze","2021",2.77753
"cze","2022",2.67327
"cze","2023",NA
"dnk","1990",NA
"dnk","1991",NA
"dnk","1992",NA
"dnk","1993",NA
"dnk","1994",NA
"dnk","1995",NA
"dnk","1996",NA
"dnk","1997",NA
"dnk","1998",NA
"dnk","1999",NA
"dnk","2000",NA
"dnk","2001",NA
"dnk","2002",NA
"dnk","2003",NA
"dnk","2004",NA
"dnk","2005",NA
"dnk","2006",NA
"dnk","2007",NA
"dnk","2008",19.37395
"dnk","2009",18.08272
"dnk","2010",18.77139
"dnk","2011",13.22079
"dnk","2012",14.03866
"dnk","2013",12.36377
"dnk","2014",11.00263
"dnk","2015",11.91744
"dnk","2016",11.2681
"dnk","2017",11.51581
"dnk","2018",11.43596
"dnk","2019",11.92277
"dnk","2020",11.29636
"dnk","2021",11.75035
"dnk","2022",10.15787
"dnk","2023",NA
"est","1990",NA
"est","1991",NA
"est","1992",NA
"est","1993",NA
"est","1994",NA
"est","1995",NA
"est","1996",NA
"est","1997",NA
"est","1998",NA
"est","1999",NA
"est","2000",NA
"est","2001",NA
"est","2002",NA
"est","2003",NA
"est","2004",NA
"est","2005",NA
"est","2006",NA
"est","2007",NA
"est","2008",28.91127
"est","2009",25.21773
"est","2010",25.33566
"est","2011",32.53968
"est","2012",34.80708
"est","2013",35.08664
"est","2014",27.91993
"est","2015",11.54992
"est","2016",11.2889
"est","2017",11.23942
"est","2018",13.16196
