"country","year","ae_cap_water"
"aut","1990",NA
"aut","1991",NA
"aut","1992",NA
"aut","1993",NA
"aut","1994",NA
"aut","1995",NA
"aut","1996",NA
"aut","1997",NA
"aut","1998",NA
"aut","1999",NA
"aut","2000",NA
"aut","2001",NA
"aut","2002",NA
"aut","2003",NA
"aut","2004",NA
"aut","2005",NA
"aut","2006",NA
"aut","2007",NA
"aut","2008",364.22309
"aut","2009",343.24384
"aut","2010",330.326
"aut","2011",318.06768
"aut","2012",308.09038
"aut","2013",292.58998
"aut","2014",283.30412
"aut","2015",277.06312
"aut","2016",274.38774
"aut","2017",265.38828
"aut","2018",268.26581
"aut","2019",260.03169
"aut","2020",248.87928
"aut","2021",213.6301
"aut","2022",213.72816
"aut","2023",NA
"bel","1990",NA
"bel","1991",NA
"bel","1992",NA
"bel","1993",NA
"bel","1994",NA
"bel","1995",NA
"bel","1996",NA
"bel","1997",NA
"bel","1998",NA
"bel","1999",NA
"bel","2000",NA
"bel","2001",NA
"bel","2002",NA
"bel","2003",NA
"bel","2004",NA
"bel","2005",NA
"bel","2006",NA
"bel","2007",NA
"bel","2008",324.51898
"bel","2009",307.26433
"bel","2010",303.13414
"bel","2011",290.64872
"bel","2012",288.73703
"bel","2013",257.34321
"bel","2014",257.53086
"bel","2015",247.34458
"bel","2016",235.13088
"bel","2017",244.62488
"bel","2018",252.1852
"bel","2019",244.15223
"bel","2020",227.76667
"bel","2021",223.24844
"bel","2022",221.04296
"bel","2023",NA
"bgr","1990",NA
"bgr","1991",NA
"bgr","1992",NA
"bgr","1993",NA
"bgr","1994",NA
"bgr","1995",NA
"bgr","1996",NA
"bgr","1997",NA
"bgr","1998",NA
"bgr","1999",NA
"bgr","2000",NA
"bgr","2001",NA
"bgr","2002",NA
"bgr","2003",NA
"bgr","2004",NA
"bgr","2005",NA
"bgr","2006",NA
"bgr","2007",NA
"bgr","2008",468.77764
"bgr","2009",475.81566
"bgr","2010",478.12153
"bgr","2011",485.95997
"bgr","2012",480.36805
"bgr","2013",472.21012
"bgr","2014",461.10277
"bgr","2015",463.33175
"bgr","2016",452.11564
"bgr","2017",436.54371
"bgr","2018",423.81088
"bgr","2019",416.23174
"bgr","2020",402.60569
"bgr","2021",396.55377
"bgr","2022",455.56873
"bgr","2023",NA
"hrv","1990",NA
"hrv","1991",NA
"hrv","1992",NA
"hrv","1993",NA
"hrv","1994",NA
"hrv","1995",NA
"hrv","1996",NA
"hrv","1997",NA
"hrv","1998",NA
"hrv","1999",NA
"hrv","2000",NA
"hrv","2001",NA
"hrv","2002",NA
"hrv","2003",NA
"hrv","2004",NA
"hrv","2005",NA
"hrv","2006",NA
"hrv","2007",NA
"hrv","2008",420.33014
"hrv","2009",436.31165
"hrv","2010",451.96951
"hrv","2011",464.06277
"hrv","2012",466.80133
"hrv","2013",466.78385
"hrv","2014",482.82355
"hrv","2015",501.58367
"hrv","2016",519.0466
"hrv","2017",534.10033
"hrv","2018",537.31279
"hrv","2019",539.47212
"hrv","2020",550.58384
"hrv","2021",536.51515
"hrv","2022",609.6804
"hrv","2023",NA
"cyp","1990",NA
"cyp","1991",NA
"cyp","1992",NA
"cyp","1993",NA
"cyp","1994",NA
"cyp","1995",NA
"cyp","1996",NA
"cyp","1997",NA
"cyp","1998",NA
"cyp","1999",NA
"cyp","2000",NA
"cyp","2001",NA
"cyp","2002",NA
"cyp","2003",NA
"cyp","2004",NA
"cyp","2005",NA
"cyp","2006",NA
"cyp","2007",NA
"cyp","2008",712.22622
"cyp","2009",705.43559
"cyp","2010",703.65257
"cyp","2011",698.59826
"cyp","2012",700.96521
"cyp","2013",715.47533
"cyp","2014",739.03932
"cyp","2015",745.43373
"cyp","2016",745.42036
"cyp","2017",751.97422
"cyp","2018",753.31896
"cyp","2019",767.5264
"cyp","2020",770.46806
"cyp","2021",763.72647
"cyp","2022",833.06611
"cyp","2023",NA
"cze","1990",NA
"cze","1991",NA
"cze","1992",NA
"cze","1993",NA
"cze","1994",NA
"cze","1995",NA
"cze","1996",NA
"cze","1997",NA
"cze","1998",NA
"cze","1999",NA
"cze","2000",NA
"cze","2001",NA
"cze","2002",NA
"cze","2003",NA
"cze","2004",NA
"cze","2005",NA
"cze","2006",NA
"cze","2007",NA
"cze","2008",511.5122
"cze","2009",517.59702
"cze","2010",542.89636
"cze","2011",550.77954
"cze","2012",570.59732
"cze","2013",604.61229
"cze","2014",604.22191
"cze","2015",619.15069
"cze","2016",629.92044
"cze","2017",636.37757
"cze","2018",650.40407
"cze","2019",656.66058
"cze","2020",671.46638
"cze","2021",688.16378
"cze","2022",663.35538
"cze","2023",NA
"dnk","1990",NA
"dnk","1991",NA
"dnk","1992",NA
"dnk","1993",NA
"dnk","1994",NA
"dnk","1995",NA
"dnk","1996",NA
"dnk","1997",NA
"dnk","1998",NA
"dnk","1999",NA
"dnk","2000",NA
"dnk","2001",NA
"dnk","2002",NA
"dnk","2003",NA
"dnk","2004",NA
"dnk","2005",NA
"dnk","2006",NA
"dnk","2007",NA
"dnk","2008",423.58646
"dnk","2009",398.94267
"dnk","2010",385.78053
"dnk","2011",402.3506
"dnk","2012",418.46248
"dnk","2013",432.90406
"dnk","2014",442.81265
"dnk","2015",435.36981
"dnk","2016",449.01641
"dnk","2017",433.11064
"dnk","2018",438.05504
"dnk","2019",432.57216
"dnk","2020",429.8397
"dnk","2021",399.65129
"dnk","2022",390.19462
"dnk","2023",NA
"est","1990",NA
"est","1991",NA
"est","1992",NA
"est","1993",NA
"est","1994",NA
"est","1995",NA
"est","1996",NA
"est","1997",NA
"est","1998",NA
"est","1999",NA
"est","2000",NA
"est","2001",NA
"est","2002",NA
"est","2003",NA
"est","2004",NA
"est","2005",NA
"est","2006",NA
"est","2007",NA
"est","2008",425.82084
"est","2009",442.06828
"est","2010",444.01541
"est","2011",404.92552
"est","2012",391.2262
"est","2013",362.18287
"est","2014",336.98211
"est","2015",317.20394
"est","2016",316.90529
"est","2017",302.52867
"est","2018",309.62682
