"country","year","ae_ton_health"
"aut","1990",NA
"aut","1991",NA
"aut","1992",NA
"aut","1993",NA
"aut","1994",NA
"aut","1995",NA
"aut","1996",NA
"aut","1997",NA
"aut","1998",NA
"aut","1999",NA
"aut","2000",NA
"aut","2001",NA
"aut","2002",NA
"aut","2003",NA
"aut","2004",NA
"aut","2005",NA
"aut","2006",NA
"aut","2007",NA
"aut","2008",230.89429
"aut","2009",170.51018
"aut","2010",196.32608
"aut","2011",217.48418
"aut","2012",271.05265
"aut","2013",285.43482
"aut","2014",227.04354
"aut","2015",236.14584
"aut","2016",169.01046
"aut","2017",130.19908
"aut","2018",168.98222
"aut","2019",239.49774
"aut","2020",237.56431
"aut","2021",274.80076
"aut","2022",242.43131
"aut","2023",NA
"bel","1990",NA
"bel","1991",NA
"bel","1992",NA
"bel","1993",NA
"bel","1994",NA
"bel","1995",NA
"bel","1996",NA
"bel","1997",NA
"bel","1998",NA
"bel","1999",NA
"bel","2000",NA
"bel","2001",NA
"bel","2002",NA
"bel","2003",NA
"bel","2004",NA
"bel","2005",NA
"bel","2006",NA
"bel","2007",NA
"bel","2008",960.30634
"bel","2009",866.88661
"bel","2010",969.41224
"bel","2011",863.71056
"bel","2012",924.79274
"bel","2013",891.51622
"bel","2014",808.93256
"bel","2015",872.26191
"bel","2016",886.8162
"bel","2017",840.88343
"bel","2018",874.53076
"bel","2019",889.53588
"bel","2020",796.1236
"bel","2021",878.88373
"bel","2022",776.38746
"bel","2023",NA
"bgr","1990",NA
"bgr","1991",NA
"bgr","1992",NA
"bgr","1993",NA
"bgr","1994",NA
"bgr","1995",NA
"bgr","1996",NA
"bgr","1997",NA
"bgr","1998",NA
"bgr","1999",NA
"bgr","2000",NA
"bgr","2001",NA
"bgr","2002",NA
"bgr","2003",NA
"bgr","2004",NA
"bgr","2005",NA
"bgr","2006",NA
"bgr","2007",NA
"bgr","2008",74.34122
"bgr","2009",70.14056
"bgr","2010",72.00777
"bgr","2011",67.27189
"bgr","2012",69.39583
"bgr","2013",51.24575
"bgr","2014",50.33318
"bgr","2015",47.8993
"bgr","2016",47.82695
"bgr","2017",46.21326
"bgr","2018",46.0461
"bgr","2019",45.63301
"bgr","2020",42.88977
"bgr","2021",47.95118
"bgr","2022",45.67301
"bgr","2023",NA
"can","1990",NA
"can","1991",NA
"can","1992",NA
"can","1993",NA
"can","1994",NA
"can","1995",NA
"can","1996",NA
"can","1997",NA
"can","1998",NA
"can","1999",NA
"can","2000",NA
"can","2001",NA
"can","2002",NA
"can","2003",NA
"can","2004",NA
"can","2005",NA
"can","2006",NA
"can","2007",NA
"can","2008",NA
"can","2009",3347
"can","2010",3417
"can","2011",3623
"can","2012",3530
"can","2013",3766
"can","2014",4027
"can","2015",3677
"can","2016",3797
"can","2017",3879
"can","2018",3833
"can","2019",3691
"can","2020",3593
"can","2021",3647
"can","2022",NA
"can","2023",NA
"hrv","1990",NA
"hrv","1991",NA
"hrv","1992",NA
"hrv","1993",NA
"hrv","1994",NA
"hrv","1995",NA
"hrv","1996",NA
"hrv","1997",NA
"hrv","1998",NA
"hrv","1999",NA
"hrv","2000",NA
"hrv","2001",NA
"hrv","2002",NA
"hrv","2003",NA
"hrv","2004",NA
"hrv","2005",NA
"hrv","2006",NA
"hrv","2007",NA
"hrv","2008",102.70255
"hrv","2009",106.24571
"hrv","2010",113.58797
"hrv","2011",110.6139
"hrv","2012",105.06797
"hrv","2013",107.02789
"hrv","2014",105.63302
"hrv","2015",120.71914
"hrv","2016",129.33323
"hrv","2017",142.65411
"hrv","2018",146.76883
"hrv","2019",152.40564
"hrv","2020",149.29391
"hrv","2021",164.31631
"hrv","2022",167.77809
"hrv","2023",NA
"cyp","1990",NA
"cyp","1991",NA
"cyp","1992",NA
"cyp","1993",NA
"cyp","1994",NA
"cyp","1995",NA
"cyp","1996",NA
"cyp","1997",NA
"cyp","1998",NA
"cyp","1999",NA
"cyp","2000",NA
"cyp","2001",NA
"cyp","2002",NA
"cyp","2003",NA
"cyp","2004",NA
"cyp","2005",NA
"cyp","2006",NA
"cyp","2007",NA
"cyp","2008",11.85833
"cyp","2009",11.67813
"cyp","2010",12.51498
"cyp","2011",11.61672
"cyp","2012",11.15289
"cyp","2013",11.64832
"cyp","2014",11.51948
"cyp","2015",12.57329
"cyp","2016",11.91363
"cyp","2017",13.38797
"cyp","2018",13.65084
"cyp","2019",16.00903
"cyp","2020",15.55571
"cyp","2021",15.88674
"cyp","2022",15.47969
"cyp","2023",NA
"cze","1990",NA
"cze","1991",NA
"cze","1992",NA
"cze","1993",NA
"cze","1994",NA
"cze","1995",NA
"cze","1996",NA
"cze","1997",NA
"cze","1998",NA
"cze","1999",NA
"cze","2000",NA
"cze","2001",NA
"cze","2002",NA
"cze","2003",NA
"cze","2004",NA
"cze","2005",NA
"cze","2006",NA
"cze","2007",NA
"cze","2008",347.20422
"cze","2009",366.76402
"cze","2010",353.4534
"cze","2011",343.91629
"cze","2012",350.32261
"cze","2013",324.69313
"cze","2014",293.73888
"cze","2015",310.31628
"cze","2016",315.65597
"cze","2017",265.08861
"cze","2018",310.63073
"cze","2019",301.91646
"cze","2020",319.91191
"cze","2021",317.93317
"cze","2022",305.33003
"cze","2023",NA
"dnk","1990",NA
"dnk","1991",NA
"dnk","1992",NA
"dnk","1993",NA
"dnk","1994",NA
"dnk","1995",NA
"dnk","1996",NA
"dnk","1997",NA
"dnk","1998",NA
"dnk","1999",NA
"dnk","2000",NA
"dnk","2001",NA
"dnk","2002",NA
"dnk","2003",NA
"dnk","2004",NA
"dnk","2005",NA
"dnk","2006",NA
"dnk","2007",NA
"dnk","2008",305.61053
"dnk","2009",318.25122
"dnk","2010",319.94682
"dnk","2011",280.98707
"dnk","2012",275.68599
"dnk","2013",278.49461
"dnk","2014",243.66342
"dnk","2015",248.54668
"dnk","2016",230.03709
"dnk","2017",221.61179
"dnk","2018",219.7972
"dnk","2019",191.99548
"dnk","2020",185.72649
"dnk","2021",179.84717
