"country","year","ae_ton_isic"
"can","1990",NA
"can","1991",NA
"can","1992",NA
"can","1993",NA
"can","1994",NA
"can","1995",NA
"can","1996",NA
"can","1997",NA
"can","1998",NA
"can","1999",NA
"can","2000",NA
"can","2001",NA
"can","2002",NA
"can","2003",NA
"can","2004",NA
"can","2005",NA
"can","2006",NA
"can","2007",NA
"can","2008",NA
"can","2009",738765
"can","2010",753887
"can","2011",764322
"can","2012",765177
"can","2013",774546
"can","2014",775519
"can","2015",780254
"can","2016",753719
"can","2017",766876
"can","2018",780372
"can","2019",775612
"can","2020",693849
"can","2021",708880
"can","2022",NA
"can","2023",NA
"nzl","1990",NA
"nzl","1991",NA
"nzl","1992",NA
"nzl","1993",NA
"nzl","1994",NA
"nzl","1995",NA
"nzl","1996",NA
"nzl","1997",NA
"nzl","1998",NA
"nzl","1999",NA
"nzl","2000",NA
"nzl","2001",NA
"nzl","2002",NA
"nzl","2003",NA
"nzl","2004",NA
"nzl","2005",NA
"nzl","2006",NA
"nzl","2007",NA
"nzl","2008",82114.955747
"nzl","2009",78923.860647
"nzl","2010",79460.744082
"nzl","2011",79174.71586
"nzl","2012",81222.535873
"nzl","2013",80526.402634
"nzl","2014",81322.786373
"nzl","2015",81294.340123
"nzl","2016",79371.884778
"nzl","2017",81001.423323
"nzl","2018",81501.50129
"nzl","2019",82734.258464
"nzl","2020",78513.796316
"nzl","2021",77637.792719
"nzl","2022",NA
"nzl","2023",NA
"gbr","1990",NA
"gbr","1991",NA
"gbr","1992",NA
"gbr","1993",NA
"gbr","1994",NA
"gbr","1995",NA
"gbr","1996",NA
"gbr","1997",NA
"gbr","1998",NA
"gbr","1999",NA
"gbr","2000",NA
"gbr","2001",NA
"gbr","2002",NA
"gbr","2003",NA
"gbr","2004",NA
"gbr","2005",NA
"gbr","2006",NA
"gbr","2007",NA
"gbr","2008",726374.9
"gbr","2009",666850.2
"gbr","2010",682896.5
"gbr","2011",642747.2
"gbr","2012",656182.9
"gbr","2013",642592.3
"gbr","2014",610966.9
"gbr","2015",600621.2
"gbr","2016",578877.3
"gbr","2017",563160.2
"gbr","2018",564144.4
"gbr","2019",550583.8
"gbr","2020",488596.3
"gbr","2021",502786.5
"gbr","2022",512544.3
"gbr","2023",NA
