"country","year","ae_ton_land"
"aut","1990",NA
"aut","1991",NA
"aut","1992",NA
"aut","1993",NA
"aut","1994",NA
"aut","1995",NA
"aut","1996",NA
"aut","1997",NA
"aut","1998",NA
"aut","1999",NA
"aut","2000",NA
"aut","2001",NA
"aut","2002",NA
"aut","2003",NA
"aut","2004",NA
"aut","2005",NA
"aut","2006",NA
"aut","2007",NA
"aut","2008",4605.71273
"aut","2009",4332.50939
"aut","2010",4298.0786
"aut","2011",3806.60139
"aut","2012",3444.31339
"aut","2013",3631.65542
"aut","2014",3469.30361
"aut","2015",3073.55495
"aut","2016",2754.82166
"aut","2017",3127.95525
"aut","2018",3226.60613
"aut","2019",3223.26117
"aut","2020",3297.67616
"aut","2021",3607.05531
"aut","2022",3407.00005
"aut","2023",NA
"bel","1990",NA
"bel","1991",NA
"bel","1992",NA
"bel","1993",NA
"bel","1994",NA
"bel","1995",NA
"bel","1996",NA
"bel","1997",NA
"bel","1998",NA
"bel","1999",NA
"bel","2000",NA
"bel","2001",NA
"bel","2002",NA
"bel","2003",NA
"bel","2004",NA
"bel","2005",NA
"bel","2006",NA
"bel","2007",NA
"bel","2008",2315.08757
"bel","2009",2122.01617
"bel","2010",2129.7168
"bel","2011",2056.51457
"bel","2012",1916.76777
"bel","2013",1895.94291
"bel","2014",1831.71519
"bel","2015",1793.46577
"bel","2016",1776.17839
"bel","2017",1830.10717
"bel","2018",2101.42387
"bel","2019",2224.50106
"bel","2020",2026.65356
"bel","2021",1765.23103
"bel","2022",1812.06295
"bel","2023",NA
"bgr","1990",NA
"bgr","1991",NA
"bgr","1992",NA
"bgr","1993",NA
"bgr","1994",NA
"bgr","1995",NA
"bgr","1996",NA
"bgr","1997",NA
"bgr","1998",NA
"bgr","1999",NA
"bgr","2000",NA
"bgr","2001",NA
"bgr","2002",NA
"bgr","2003",NA
"bgr","2004",NA
"bgr","2005",NA
"bgr","2006",NA
"bgr","2007",NA
"bgr","2008",5801.42277
"bgr","2009",5388.37868
"bgr","2010",5243.15308
"bgr","2011",5434.09628
"bgr","2012",5692.41606
"bgr","2013",5019.39045
"bgr","2014",5651.84427
"bgr","2015",6203.82289
"bgr","2016",6694.97147
"bgr","2017",6811.76079
"bgr","2018",6470.30961
"bgr","2019",6619.78894
"bgr","2020",6182.7524
"bgr","2021",6814.41048
"bgr","2022",6905.63109
"bgr","2023",NA
"can","1990",NA
"can","1991",NA
"can","1992",NA
"can","1993",NA
"can","1994",NA
"can","1995",NA
"can","1996",NA
"can","1997",NA
"can","1998",NA
"can","1999",NA
"can","2000",NA
"can","2001",NA
"can","2002",NA
"can","2003",NA
"can","2004",NA
"can","2005",NA
"can","2006",NA
"can","2007",NA
"can","2008",NA
"can","2009",36510
"can","2010",37959
"can","2011",38432
"can","2012",41224
"can","2013",41132
"can","2014",42171
"can","2015",40331
"can","2016",37419
"can","2017",37795
"can","2018",40284
"can","2019",39594
"can","2020",35691
"can","2021",37862
"can","2022",NA
"can","2023",NA
"hrv","1990",NA
"hrv","1991",NA
"hrv","1992",NA
"hrv","1993",NA
"hrv","1994",NA
"hrv","1995",NA
"hrv","1996",NA
"hrv","1997",NA
"hrv","1998",NA
"hrv","1999",NA
"hrv","2000",NA
"hrv","2001",NA
"hrv","2002",NA
"hrv","2003",NA
"hrv","2004",NA
"hrv","2005",NA
"hrv","2006",NA
"hrv","2007",NA
"hrv","2008",792.90925
"hrv","2009",804.04628
"hrv","2010",860.19831
"hrv","2011",815.21492
"hrv","2012",687.63864
"hrv","2013",927.27644
"hrv","2014",857.04019
"hrv","2015",867.76439
"hrv","2016",879.67813
"hrv","2017",1084.51283
"hrv","2018",1019.54014
"hrv","2019",1103.82355
"hrv","2020",932.95404
"hrv","2021",917.02101
"hrv","2022",874.16669
"hrv","2023",NA
"cyp","1990",NA
"cyp","1991",NA
"cyp","1992",NA
"cyp","1993",NA
"cyp","1994",NA
"cyp","1995",NA
"cyp","1996",NA
"cyp","1997",NA
"cyp","1998",NA
"cyp","1999",NA
"cyp","2000",NA
"cyp","2001",NA
"cyp","2002",NA
"cyp","2003",NA
"cyp","2004",NA
"cyp","2005",NA
"cyp","2006",NA
"cyp","2007",NA
"cyp","2008",194.26325
"cyp","2009",216.89421
"cyp","2010",212.55205
"cyp","2011",200.79518
"cyp","2012",158.76039
"cyp","2013",127.67607
"cyp","2014",125.21952
"cyp","2015",137.85774
"cyp","2016",147.83403
"cyp","2017",161.82637
"cyp","2018",163.35752
"cyp","2019",175.11185
"cyp","2020",162.68102
"cyp","2021",160.15488
"cyp","2022",160.57683
"cyp","2023",NA
"cze","1990",NA
"cze","1991",NA
"cze","1992",NA
"cze","1993",NA
"cze","1994",NA
"cze","1995",NA
"cze","1996",NA
"cze","1997",NA
"cze","1998",NA
"cze","1999",NA
"cze","2000",NA
"cze","2001",NA
"cze","2002",NA
"cze","2003",NA
"cze","2004",NA
"cze","2005",NA
"cze","2006",NA
"cze","2007",NA
"cze","2008",7441.74968
"cze","2009",6611.56201
"cze","2010",6576.13378
"cze","2011",6458.39155
"cze","2012",6286.43221
"cze","2013",6053.12961
"cze","2014",6344.3449
"cze","2015",6686.97132
"cze","2016",7400.4387
"cze","2017",7818.58824
"cze","2018",7541.94636
"cze","2019",7763.74555
"cze","2020",7004.10034
"cze","2021",7957.71464
"cze","2022",8578.4007
"cze","2023",NA
"dnk","1990",NA
"dnk","1991",NA
"dnk","1992",NA
"dnk","1993",NA
"dnk","1994",NA
"dnk","1995",NA
"dnk","1996",NA
"dnk","1997",NA
"dnk","1998",NA
"dnk","1999",NA
"dnk","2000",NA
"dnk","2001",NA
"dnk","2002",NA
"dnk","2003",NA
"dnk","2004",NA
"dnk","2005",NA
"dnk","2006",NA
"dnk","2007",NA
"dnk","2008",2940.00161
"dnk","2009",3650.74703
"dnk","2010",3896.84733
"dnk","2011",3586.01337
"dnk","2012",3858.77919
"dnk","2013",3362.06392
"dnk","2014",2899.01425
"dnk","2015",3272.39627
