"country","year","ae_ton_manu"
"aut","1990",NA
"aut","1991",NA
"aut","1992",NA
"aut","1993",NA
"aut","1994",NA
"aut","1995",NA
"aut","1996",NA
"aut","1997",NA
"aut","1998",NA
"aut","1999",NA
"aut","2000",NA
"aut","2001",NA
"aut","2002",NA
"aut","2003",NA
"aut","2004",NA
"aut","2005",NA
"aut","2006",NA
"aut","2007",NA
"aut","2008",29018.83022
"aut","2009",25291.08677
"aut","2010",27842.58767
"aut","2011",27668.12932
"aut","2012",26939.11411
"aut","2013",26850.82844
"aut","2014",26461.6497
"aut","2015",26971.0817
"aut","2016",26699.87392
"aut","2017",27530.14656
"aut","2018",25956.31935
"aut","2019",26918.98435
"aut","2020",25668.5311
"aut","2021",27604.16992
"aut","2022",25790.55472
"aut","2023",NA
"bel","1990",NA
"bel","1991",NA
"bel","1992",NA
"bel","1993",NA
"bel","1994",NA
"bel","1995",NA
"bel","1996",NA
"bel","1997",NA
"bel","1998",NA
"bel","1999",NA
"bel","2000",NA
"bel","2001",NA
"bel","2002",NA
"bel","2003",NA
"bel","2004",NA
"bel","2005",NA
"bel","2006",NA
"bel","2007",NA
"bel","2008",47049.1905
"bel","2009",35844.40586
"bel","2010",40492.34634
"bel","2011",38913.9071
"bel","2012",36404.34127
"bel","2013",36649.40615
"bel","2014",36839.22137
"bel","2015",36690.14119
"bel","2016",36892.17364
"bel","2017",37064.80869
"bel","2018",37442.38065
"bel","2019",37173.43214
"bel","2020",34243.87846
"bel","2021",34967.22547
"bel","2022",32819.84311
"bel","2023",NA
"bgr","1990",NA
"bgr","1991",NA
"bgr","1992",NA
"bgr","1993",NA
"bgr","1994",NA
"bgr","1995",NA
"bgr","1996",NA
"bgr","1997",NA
"bgr","1998",NA
"bgr","1999",NA
"bgr","2000",NA
"bgr","2001",NA
"bgr","2002",NA
"bgr","2003",NA
"bgr","2004",NA
"bgr","2005",NA
"bgr","2006",NA
"bgr","2007",NA
"bgr","2008",12933.54483
"bgr","2009",7748.87066
"bgr","2010",7926.52618
"bgr","2011",7847.81779
"bgr","2012",7462.59614
"bgr","2013",7536.81627
"bgr","2014",7731.58808
"bgr","2015",8557.58356
"bgr","2016",9147.4687
"bgr","2017",9828.66805
"bgr","2018",9669.91533
"bgr","2019",9495.9057
"bgr","2020",8923.64911
"bgr","2021",9245.00062
"bgr","2022",8395.09693
"bgr","2023",NA
"can","1990",NA
"can","1991",NA
"can","1992",NA
"can","1993",NA
"can","1994",NA
"can","1995",NA
"can","1996",NA
"can","1997",NA
"can","1998",NA
"can","1999",NA
"can","2000",NA
"can","2001",NA
"can","2002",NA
"can","2003",NA
"can","2004",NA
"can","2005",NA
"can","2006",NA
"can","2007",NA
"can","2008",NA
"can","2009",138775
"can","2010",143077
"can","2011",146477
"can","2012",145664
"can","2013",146150
"can","2014",147226
"can","2015",146222
"can","2016",143512
"can","2017",142138
"can","2018",144060
"can","2019",144471
"can","2020",131616
"can","2021",137942
"can","2022",NA
"can","2023",NA
"hrv","1990",NA
"hrv","1991",NA
"hrv","1992",NA
"hrv","1993",NA
"hrv","1994",NA
"hrv","1995",NA
"hrv","1996",NA
"hrv","1997",NA
"hrv","1998",NA
"hrv","1999",NA
"hrv","2000",NA
"hrv","2001",NA
"hrv","2002",NA
"hrv","2003",NA
"hrv","2004",NA
"hrv","2005",NA
"hrv","2006",NA
"hrv","2007",NA
"hrv","2008",7620.05847
"hrv","2009",6622.80267
"hrv","2010",6529.84172
"hrv","2011",6532.13683
"hrv","2012",6109.44339
"hrv","2013",5450.92293
"hrv","2014",5660.14086
"hrv","2015",5476.46274
"hrv","2016",5057.81722
"hrv","2017",5567.27276
"hrv","2018",5427.31668
"hrv","2019",5160.26767
"hrv","2020",4920.51333
"hrv","2021",4825.47113
"hrv","2022",4369.64057
"hrv","2023",NA
"cyp","1990",NA
"cyp","1991",NA
"cyp","1992",NA
"cyp","1993",NA
"cyp","1994",NA
"cyp","1995",NA
"cyp","1996",NA
"cyp","1997",NA
"cyp","1998",NA
"cyp","1999",NA
"cyp","2000",NA
"cyp","2001",NA
"cyp","2002",NA
"cyp","2003",NA
"cyp","2004",NA
"cyp","2005",NA
"cyp","2006",NA
"cyp","2007",NA
"cyp","2008",1979.27934
"cyp","2009",1685.27355
"cyp","2010",1453.35822
"cyp","2011",1287.96046
"cyp","2012",1093.77149
"cyp","2013",1395.87499
"cyp","2014",1753.74974
"cyp","2015",1571.51283
"cyp","2016",1577.09025
"cyp","2017",1643.36339
"cyp","2018",1508.65
"cyp","2019",1465.82624
"cyp","2020",1567.60593
"cyp","2021",1525.41616
"cyp","2022",1533.67471
"cyp","2023",NA
"cze","1990",NA
"cze","1991",NA
"cze","1992",NA
"cze","1993",NA
"cze","1994",NA
"cze","1995",NA
"cze","1996",NA
"cze","1997",NA
"cze","1998",NA
"cze","1999",NA
"cze","2000",NA
"cze","2001",NA
"cze","2002",NA
"cze","2003",NA
"cze","2004",NA
"cze","2005",NA
"cze","2006",NA
"cze","2007",NA
"cze","2008",28193.55863
"cze","2009",23698.51021
"cze","2010",22148.00938
"cze","2011",20928.57665
"cze","2012",19867.00043
"cze","2013",19439.17279
"cze","2014",19732.25566
"cze","2015",19015.37995
"cze","2016",18766.64001
"cze","2017",18414.32439
"cze","2018",19029.35898
"cze","2019",18325.67928
"cze","2020",17465.89989
"cze","2021",18776.81279
"cze","2022",17662.16156
"cze","2023",NA
"dnk","1990",NA
"dnk","1991",NA
"dnk","1992",NA
"dnk","1993",NA
"dnk","1994",NA
"dnk","1995",NA
"dnk","1996",NA
"dnk","1997",NA
"dnk","1998",NA
"dnk","1999",NA
"dnk","2000",NA
"dnk","2001",NA
"dnk","2002",NA
"dnk","2003",NA
"dnk","2004",NA
"dnk","2005",NA
"dnk","2006",NA
"dnk","2007",NA
"dnk","2008",7026.56025
"dnk","2009",5870.0307
"dnk","2010",5947.88748
"dnk","2011",6119.37694
"dnk","2012",5929.85773
"dnk","2013",5630.56947
