"country","year","ae_ton_retail"
"aut","1990",NA
"aut","1991",NA
"aut","1992",NA
"aut","1993",NA
"aut","1994",NA
"aut","1995",NA
"aut","1996",NA
"aut","1997",NA
"aut","1998",NA
"aut","1999",NA
"aut","2000",NA
"aut","2001",NA
"aut","2002",NA
"aut","2003",NA
"aut","2004",NA
"aut","2005",NA
"aut","2006",NA
"aut","2007",NA
"aut","2008",2567.67888
"aut","2009",2322.60484
"aut","2010",2236.31935
"aut","2011",1988.53391
"aut","2012",1851.79126
"aut","2013",1888.86934
"aut","2014",1790.52992
"aut","2015",1782.15939
"aut","2016",1643.15881
"aut","2017",1682.41933
"aut","2018",1751.30075
"aut","2019",1705.96367
"aut","2020",1714.63196
"aut","2021",1859.02878
"aut","2022",1699.26507
"aut","2023",NA
"bel","1990",NA
"bel","1991",NA
"bel","1992",NA
"bel","1993",NA
"bel","1994",NA
"bel","1995",NA
"bel","1996",NA
"bel","1997",NA
"bel","1998",NA
"bel","1999",NA
"bel","2000",NA
"bel","2001",NA
"bel","2002",NA
"bel","2003",NA
"bel","2004",NA
"bel","2005",NA
"bel","2006",NA
"bel","2007",NA
"bel","2008",3152.16623
"bel","2009",3191.99115
"bel","2010",3219.33627
"bel","2011",2857.33757
"bel","2012",2904.36573
"bel","2013",3012.70638
"bel","2014",2680.31229
"bel","2015",2794.73576
"bel","2016",2742.41712
"bel","2017",2674.76855
"bel","2018",2685.73919
"bel","2019",2588.89816
"bel","2020",2308.24519
"bel","2021",2303.74682
"bel","2022",2054.52117
"bel","2023",NA
"bgr","1990",NA
"bgr","1991",NA
"bgr","1992",NA
"bgr","1993",NA
"bgr","1994",NA
"bgr","1995",NA
"bgr","1996",NA
"bgr","1997",NA
"bgr","1998",NA
"bgr","1999",NA
"bgr","2000",NA
"bgr","2001",NA
"bgr","2002",NA
"bgr","2003",NA
"bgr","2004",NA
"bgr","2005",NA
"bgr","2006",NA
"bgr","2007",NA
"bgr","2008",561.435
"bgr","2009",543.72709
"bgr","2010",531.05588
"bgr","2011",545.27993
"bgr","2012",578.20613
"bgr","2013",499.76006
"bgr","2014",565.51674
"bgr","2015",607.77451
"bgr","2016",626.00294
"bgr","2017",664.31762
"bgr","2018",720.14143
"bgr","2019",686.56423
"bgr","2020",642.56148
"bgr","2021",712.60847
"bgr","2022",709.97501
"bgr","2023",NA
"can","1990",NA
"can","1991",NA
"can","1992",NA
"can","1993",NA
"can","1994",NA
"can","1995",NA
"can","1996",NA
"can","1997",NA
"can","1998",NA
"can","1999",NA
"can","2000",NA
"can","2001",NA
"can","2002",NA
"can","2003",NA
"can","2004",NA
"can","2005",NA
"can","2006",NA
"can","2007",NA
"can","2008",NA
"can","2009",19204
"can","2010",19553
"can","2011",20155
"can","2012",19434
"can","2013",21077
"can","2014",21167
"can","2015",19195
"can","2016",18409
"can","2017",19804
"can","2018",20760
"can","2019",21505
"can","2020",19419
"can","2021",20395
"can","2022",NA
"can","2023",NA
"hrv","1990",NA
"hrv","1991",NA
"hrv","1992",NA
"hrv","1993",NA
"hrv","1994",NA
"hrv","1995",NA
"hrv","1996",NA
"hrv","1997",NA
"hrv","1998",NA
"hrv","1999",NA
"hrv","2000",NA
"hrv","2001",NA
"hrv","2002",NA
"hrv","2003",NA
"hrv","2004",NA
"hrv","2005",NA
"hrv","2006",NA
"hrv","2007",NA
"hrv","2008",461.48513
"hrv","2009",462.45549
"hrv","2010",466.37437
"hrv","2011",448.24379
"hrv","2012",416.2525
"hrv","2013",428.58769
"hrv","2014",404.84253
"hrv","2015",439.8324
"hrv","2016",455.16105
"hrv","2017",516.92483
"hrv","2018",504.83344
"hrv","2019",525.65511
"hrv","2020",478.99114
"hrv","2021",525.06091
"hrv","2022",523.17233
"hrv","2023",NA
"cyp","1990",NA
"cyp","1991",NA
"cyp","1992",NA
"cyp","1993",NA
"cyp","1994",NA
"cyp","1995",NA
"cyp","1996",NA
"cyp","1997",NA
"cyp","1998",NA
"cyp","1999",NA
"cyp","2000",NA
"cyp","2001",NA
"cyp","2002",NA
"cyp","2003",NA
"cyp","2004",NA
"cyp","2005",NA
"cyp","2006",NA
"cyp","2007",NA
"cyp","2008",214.23889
"cyp","2009",215.1711
"cyp","2010",202.83888
"cyp","2011",187.37944
"cyp","2012",165.91375
"cyp","2013",140.02728
"cyp","2014",129.02274
"cyp","2015",140.71309
"cyp","2016",150.45118
"cyp","2017",164.41665
"cyp","2018",167.24408
"cyp","2019",177.05197
"cyp","2020",182.22599
"cyp","2021",181.04465
"cyp","2022",181.69715
"cyp","2023",NA
"cze","1990",NA
"cze","1991",NA
"cze","1992",NA
"cze","1993",NA
"cze","1994",NA
"cze","1995",NA
"cze","1996",NA
"cze","1997",NA
"cze","1998",NA
"cze","1999",NA
"cze","2000",NA
"cze","2001",NA
"cze","2002",NA
"cze","2003",NA
"cze","2004",NA
"cze","2005",NA
"cze","2006",NA
"cze","2007",NA
"cze","2008",957.66838
"cze","2009",1193.27754
"cze","2010",1119.63311
"cze","2011",1242.93652
"cze","2012",1129.45658
"cze","2013",1104.9485
"cze","2014",1082.43987
"cze","2015",1113.4982
"cze","2016",1156.17504
"cze","2017",1252.00269
"cze","2018",1309.1635
"cze","2019",1315.29582
"cze","2020",1070.53766
"cze","2021",1220.57179
"cze","2022",1132.92486
"cze","2023",NA
"dnk","1990",NA
"dnk","1991",NA
"dnk","1992",NA
"dnk","1993",NA
"dnk","1994",NA
"dnk","1995",NA
"dnk","1996",NA
"dnk","1997",NA
"dnk","1998",NA
"dnk","1999",NA
"dnk","2000",NA
"dnk","2001",NA
"dnk","2002",NA
"dnk","2003",NA
"dnk","2004",NA
"dnk","2005",NA
"dnk","2006",NA
"dnk","2007",NA
"dnk","2008",1512.78732
"dnk","2009",1392.74179
"dnk","2010",1413.51201
"dnk","2011",1405.73472
"dnk","2012",1321.77558
"dnk","2013",1182.06522
"dnk","2014",1118.77336
"dnk","2015",1146.05814
"dnk","2016",1130.80217
"dnk","2017",1136.33968
