"country","year","ae_ton_water"
"aut","1990",NA
"aut","1991",NA
"aut","1992",NA
"aut","1993",NA
"aut","1994",NA
"aut","1995",NA
"aut","1996",NA
"aut","1997",NA
"aut","1998",NA
"aut","1999",NA
"aut","2000",NA
"aut","2001",NA
"aut","2002",NA
"aut","2003",NA
"aut","2004",NA
"aut","2005",NA
"aut","2006",NA
"aut","2007",NA
"aut","2008",3030.88095
"aut","2009",2863.79423
"aut","2010",2762.64983
"aut","2011",2669.11043
"aut","2012",2597.19912
"aut","2013",2481.11123
"aut","2014",2421.21785
"aut","2015",2394.57314
"aut","2016",2397.23457
"aut","2017",2334.7709
"aut","2018",2371.60954
"aut","2019",2309.06061
"aut","2020",2219.22266
"aut","2021",1913.22779
"aut","2022",1932.49816
"aut","2023",NA
"bel","1990",NA
"bel","1991",NA
"bel","1992",NA
"bel","1993",NA
"bel","1994",NA
"bel","1995",NA
"bel","1996",NA
"bel","1997",NA
"bel","1998",NA
"bel","1999",NA
"bel","2000",NA
"bel","2001",NA
"bel","2002",NA
"bel","2003",NA
"bel","2004",NA
"bel","2005",NA
"bel","2006",NA
"bel","2007",NA
"bel","2008",3475.58951
"bel","2009",3317.37722
"bel","2010",3302.82412
"bel","2011",3208.25735
"bel","2012",3206.98259
"bel","2013",2871.79763
"bel","2014",2886.6781
"bel","2015",2788.61128
"bel","2016",2664.36721
"bel","2017",2782.64665
"bel","2018",2881.73389
"bel","2019",2805.06005
"bel","2020",2628.10946
"bel","2021",2586.60001
"bel","2022",2583.06696
"bel","2023",NA
"bgr","1990",NA
"bgr","1991",NA
"bgr","1992",NA
"bgr","1993",NA
"bgr","1994",NA
"bgr","1995",NA
"bgr","1996",NA
"bgr","1997",NA
"bgr","1998",NA
"bgr","1999",NA
"bgr","2000",NA
"bgr","2001",NA
"bgr","2002",NA
"bgr","2003",NA
"bgr","2004",NA
"bgr","2005",NA
"bgr","2006",NA
"bgr","2007",NA
"bgr","2008",3512.34506
"bgr","2009",3542.18255
"bgr","2010",3535.99512
"bgr","2011",3570.99327
"bgr","2012",3509.51516
"bgr","2013",3430.66079
"bgr","2014",3330.97783
"bgr","2015",3325.79112
"bgr","2016",3222.59981
"bgr","2017",3088.96017
"bgr","2018",2977.28709
"bgr","2019",2903.53316
"bgr","2020",2791.67388
"bgr","2021",2727.3949
"bgr","2022",2945.29601
"bgr","2023",NA
"can","1990",NA
"can","1991",NA
"can","1992",NA
"can","1993",NA
"can","1994",NA
"can","1995",NA
"can","1996",NA
"can","1997",NA
"can","1998",NA
"can","1999",NA
"can","2000",NA
"can","2001",NA
"can","2002",NA
"can","2003",NA
"can","2004",NA
"can","2005",NA
"can","2006",NA
"can","2007",NA
"can","2008",NA
"can","2009",2374
"can","2010",2345
"can","2011",2412
"can","2012",2268
"can","2013",2143
"can","2014",1181
"can","2015",1290
"can","2016",1273
"can","2017",1468
"can","2018",1540
"can","2019",1636
"can","2020",1387
"can","2021",1527
"can","2022",NA
"can","2023",NA
"hrv","1990",NA
"hrv","1991",NA
"hrv","1992",NA
"hrv","1993",NA
"hrv","1994",NA
"hrv","1995",NA
"hrv","1996",NA
"hrv","1997",NA
"hrv","1998",NA
"hrv","1999",NA
"hrv","2000",NA
"hrv","2001",NA
"hrv","2002",NA
"hrv","2003",NA
"hrv","2004",NA
"hrv","2005",NA
"hrv","2006",NA
"hrv","2007",NA
"hrv","2008",1811.99364
"hrv","2009",1878.89848
"hrv","2010",1941.82012
"hrv","2011",1987.54418
"hrv","2012",1992.80382
"hrv","2013",1985.92023
"hrv","2014",2045.27097
"hrv","2015",2110.66056
"hrv","2016",2165.69131
"hrv","2017",2205.75583
"hrv","2018",2198.07678
"hrv","2019",2194.14426
"hrv","2020",2228.35597
"hrv","2021",2118.87539
"hrv","2022",2351.29343
"hrv","2023",NA
"cyp","1990",NA
"cyp","1991",NA
"cyp","1992",NA
"cyp","1993",NA
"cyp","1994",NA
"cyp","1995",NA
"cyp","1996",NA
"cyp","1997",NA
"cyp","1998",NA
"cyp","1999",NA
"cyp","2000",NA
"cyp","2001",NA
"cyp","2002",NA
"cyp","2003",NA
"cyp","2004",NA
"cyp","2005",NA
"cyp","2006",NA
"cyp","2007",NA
"cyp","2008",560.25993
"cyp","2009",570.01664
"cyp","2010",583.64181
"cyp","2011",594.42399
"cyp","2012",605.59539
"cyp","2013",616.69609
"cyp","2014",630.03397
"cyp","2015",631.87734
"cyp","2016",634.77091
"cyp","2017",646.33613
"cyp","2018",655.43872
"cyp","2019",676.92144
"cyp","2020",687.26213
"cyp","2021",687.62571
"cyp","2022",760.34194
"cyp","2023",NA
"cze","1990",NA
"cze","1991",NA
"cze","1992",NA
"cze","1993",NA
"cze","1994",NA
"cze","1995",NA
"cze","1996",NA
"cze","1997",NA
"cze","1998",NA
"cze","1999",NA
"cze","2000",NA
"cze","2001",NA
"cze","2002",NA
"cze","2003",NA
"cze","2004",NA
"cze","2005",NA
"cze","2006",NA
"cze","2007",NA
"cze","2008",5311.85117
"cze","2009",5405.75014
"cze","2010",5686.51909
"cze","2011",5781.03053
"cze","2012",5997.42578
"cze","2013",6357.0581
"cze","2014",6359.64532
"cze","2015",6529.59973
"cze","2016",6655.94853
"cze","2017",6742.06267
"cze","2018",6913.74848
"cze","2019",7007.79632
"cze","2020",7183.25203
"cze","2021",7229.69173
"cze","2022",7079.40689
"cze","2023",NA
"dnk","1990",NA
"dnk","1991",NA
"dnk","1992",NA
"dnk","1993",NA
"dnk","1994",NA
"dnk","1995",NA
"dnk","1996",NA
"dnk","1997",NA
"dnk","1998",NA
"dnk","1999",NA
"dnk","2000",NA
"dnk","2001",NA
"dnk","2002",NA
"dnk","2003",NA
"dnk","2004",NA
"dnk","2005",NA
"dnk","2006",NA
"dnk","2007",NA
"dnk","2008",2327.0235
"dnk","2009",2203.39828
"dnk","2010",2140.18808
"dnk","2011",2241.32299
"dnk","2012",2339.8631
"dnk","2013",2430.72687
"dnk","2014",2499.00211
"dnk","2015",2474.41694
