"country","year","chain_value_land"
"alb","1990",NA
"alb","1991",NA
"alb","1992",NA
"alb","1993",NA
"alb","1994",NA
"alb","1995",NA
"alb","1996",NA
"alb","1997",NA
"alb","1998",NA
"alb","1999",NA
"alb","2000",NA
"alb","2001",NA
"alb","2002",NA
"alb","2003",NA
"alb","2004",NA
"alb","2005",NA
"alb","2006",NA
"alb","2007",NA
"alb","2008",NA
"alb","2009",NA
"alb","2010",NA
"alb","2011",NA
"alb","2012",NA
"alb","2013",NA
"alb","2014",NA
"alb","2015",NA
"alb","2016",NA
"alb","2017",NA
"alb","2018",NA
"alb","2019",NA
"alb","2020",NA
"alb","2021",NA
"alb","2022",NA
"alb","2023",NA
"aut","1990",NA
"aut","1991",NA
"aut","1992",NA
"aut","1993",NA
"aut","1994",NA
"aut","1995",NA
"aut","1996",NA
"aut","1997",NA
"aut","1998",NA
"aut","1999",NA
"aut","2000",NA
"aut","2001",NA
"aut","2002",NA
"aut","2003",NA
"aut","2004",NA
"aut","2005",NA
"aut","2006",NA
"aut","2007",NA
"aut","2008",8922.5
"aut","2009",8071.3
"aut","2010",7873.5
"aut","2011",8448.5
"aut","2012",8344.8
"aut","2013",8536.7
"aut","2014",8624.2
"aut","2015",8656.1
"aut","2016",8822.1
"aut","2017",9097.6
"aut","2018",9219.4
"aut","2019",9061.1
"aut","2020",8452.5
"aut","2021",7939.2
"aut","2022",8948.3
"aut","2023",NA
"bel","1990",NA
"bel","1991",NA
"bel","1992",NA
"bel","1993",NA
"bel","1994",NA
"bel","1995",NA
"bel","1996",NA
"bel","1997",NA
"bel","1998",NA
"bel","1999",NA
"bel","2000",NA
"bel","2001",NA
"bel","2002",NA
"bel","2003",NA
"bel","2004",NA
"bel","2005",NA
"bel","2006",NA
"bel","2007",NA
"bel","2008",7426.4
"bel","2009",7359.9
"bel","2010",7810.6
"bel","2011",7877.4
"bel","2012",7675.9
"bel","2013",7600.1
"bel","2014",7927.7
"bel","2015",7771.3
"bel","2016",7627.3
"bel","2017",7775.3
"bel","2018",8361
"bel","2019",8322.6
"bel","2020",7518.5
"bel","2021",7783.1
"bel","2022",NA
"bel","2023",NA
"bih","1990",NA
"bih","1991",NA
"bih","1992",NA
"bih","1993",NA
"bih","1994",NA
"bih","1995",NA
"bih","1996",NA
