"country","year","env_sub_total"
"aut","1990",NA
"aut","1991",NA
"aut","1992",NA
"aut","1993",NA
"aut","1994",NA
"aut","1995",NA
"aut","1996",NA
"aut","1997",NA
"aut","1998",NA
"aut","1999",NA
"aut","2000",NA
"aut","2001",NA
"aut","2002",NA
"aut","2003",NA
"aut","2004",NA
"aut","2005",NA
"aut","2006",NA
"aut","2007",NA
"aut","2008",NA
"aut","2009",NA
"aut","2010",NA
"aut","2011",NA
"aut","2012",NA
"aut","2013",NA
"aut","2014",NA
"aut","2015",NA
"aut","2016",NA
"aut","2017",NA
"aut","2018",NA
"aut","2019",NA
"aut","2020",1555.94
"aut","2021",NA
"aut","2022",NA
"aut","2023",NA
"bel","1990",NA
"bel","1991",NA
"bel","1992",NA
"bel","1993",NA
"bel","1994",NA
"bel","1995",NA
"bel","1996",NA
"bel","1997",NA
"bel","1998",NA
"bel","1999",NA
"bel","2000",NA
"bel","2001",NA
"bel","2002",NA
"bel","2003",NA
"bel","2004",NA
"bel","2005",NA
"bel","2006",NA
"bel","2007",NA
"bel","2008",NA
"bel","2009",NA
"bel","2010",NA
"bel","2011",NA
"bel","2012",NA
"bel","2013",NA
"bel","2014",1143.49
"bel","2015",1121.27
"bel","2016",1300.13
"bel","2017",1494.11
"bel","2018",1149.53
"bel","2019",1109.53
"bel","2020",1429.92
"bel","2021",1538.08
"bel","2022",NA
"bel","2023",NA
"bgr","1990",NA
"bgr","1991",NA
"bgr","1992",NA
"bgr","1993",NA
"bgr","1994",NA
"bgr","1995",NA
"bgr","1996",NA
"bgr","1997",NA
"bgr","1998",NA
"bgr","1999",NA
"bgr","2000",NA
"bgr","2001",NA
"bgr","2002",NA
"bgr","2003",NA
"bgr","2004",NA
"bgr","2005",NA
"bgr","2006",NA
"bgr","2007",NA
"bgr","2008",NA
"bgr","2009",NA
"bgr","2010",NA
"bgr","2011",NA
"bgr","2012",NA
"bgr","2013",NA
"bgr","2014",138
"bgr","2015",138.41
"bgr","2016",108.67
"bgr","2017",83.04
"bgr","2018",111.89
"bgr","2019",89.91
"bgr","2020",104.67
"bgr","2021",122.09
"bgr","2022",NA
"bgr","2023",NA
"hrv","1990",NA
"hrv","1991",NA
"hrv","1992",NA
"hrv","1993",NA
"hrv","1994",NA
"hrv","1995",NA
"hrv","1996",NA
"hrv","1997",NA
"hrv","1998",NA
"hrv","1999",NA
"hrv","2000",NA
"hrv","2001",NA
"hrv","2002",NA
"hrv","2003",NA
"hrv","2004",NA
"hrv","2005",NA
"hrv","2006",NA
"hrv","2007",NA
"hrv","2008",NA
"hrv","2009",NA
"hrv","2010",NA
"hrv","2011",NA
"hrv","2012",NA
"hrv","2013",NA
"hrv","2014",NA
"hrv","2015",NA
"hrv","2016",NA
"hrv","2017",NA
"hrv","2018",NA
"hrv","2019",NA
"hrv","2020",757.27
"hrv","2021",831.04
"hrv","2022",NA
"hrv","2023",NA
"dnk","1990",NA
"dnk","1991",NA
"dnk","1992",NA
"dnk","1993",NA
"dnk","1994",NA
"dnk","1995",NA
"dnk","1996",NA
"dnk","1997",NA
"dnk","1998",NA
"dnk","1999",NA
"dnk","2000",NA
"dnk","2001",NA
"dnk","2002",NA
"dnk","2003",NA
"dnk","2004",NA
"dnk","2005",NA
"dnk","2006",NA
"dnk","2007",NA
"dnk","2008",NA
"dnk","2009",NA
"dnk","2010",NA
"dnk","2011",NA
"dnk","2012",NA
"dnk","2013",1093.15
"dnk","2014",1244.55
"dnk","2015",1391.78
"dnk","2016",1316.21
"dnk","2017",1469.86
"dnk","2018",1190.08
"dnk","2019",1179.8
"dnk","2020",1380.24
"dnk","2021",1026.85
"dnk","2022",NA
"dnk","2023",NA
"fin","1990",NA
"fin","1991",NA
"fin","1992",NA
"fin","1993",NA
"fin","1994",NA
"fin","1995",NA
"fin","1996",NA
"fin","1997",NA
"fin","1998",NA
"fin","1999",NA
"fin","2000",NA
"fin","2001",NA
"fin","2002",NA
"fin","2003",NA
"fin","2004",NA
"fin","2005",NA
"fin","2006",NA
"fin","2007",NA
"fin","2008",NA
"fin","2009",NA
"fin","2010",NA
"fin","2011",NA
"fin","2012",NA
"fin","2013",NA
"fin","2014",462.22
"fin","2015",513.11
"fin","2016",462.01
"fin","2017",529.08
"fin","2018",525.12
"fin","2019",510.23
"fin","2020",682.61
"fin","2021",976.87
"fin","2022",NA
"fin","2023",NA
"fra","1990",NA
"fra","1991",NA
"fra","1992",NA
"fra","1993",NA
"fra","1994",NA
"fra","1995",NA
"fra","1996",NA
"fra","1997",NA
"fra","1998",NA
"fra","1999",NA
"fra","2000",NA
"fra","2001",NA
"fra","2002",NA
"fra","2003",NA
"fra","2004",NA
"fra","2005",NA
"fra","2006",NA
"fra","2007",NA
"fra","2008",NA
"fra","2009",NA
"fra","2010",NA
"fra","2011",NA
"fra","2012",NA
"fra","2013",NA
"fra","2014",NA
"fra","2015",NA
"fra","2016",NA
"fra","2017",NA
"fra","2018",NA
"fra","2019",NA
"fra","2020",NA
"fra","2021",NA
"fra","2022",NA
"fra","2023",NA
"irl","1990",NA
"irl","1991",NA
"irl","1992",NA
"irl","1993",NA
"irl","1994",NA
"irl","1995",NA
"irl","1996",NA
"irl","1997",NA
"irl","1998",NA
"irl","1999",NA
"irl","2000",NA
"irl","2001",NA
"irl","2002",NA
"irl","2003",NA
"irl","2004",NA
"irl","2005",NA
"irl","2006",NA
"irl","2007",NA
"irl","2008",NA
"irl","2009",NA
"irl","2010",NA
"irl","2011",NA
"irl","2012",NA
"irl","2013",539.68
"irl","2014",545.26
"irl","2015",615.62
"irl","2016",737.19
"irl","2017",869.78
"irl","2018",1037.78
"irl","2019",928.33
"irl","2020",937.15
"irl","2021",1284.77
"irl","2022",NA
"irl","2023",NA
"lva","1990",NA
"lva","1991",NA
"lva","1992",NA
"lva","1993",NA
"lva","1994",NA
"lva","1995",NA
"lva","1996",NA
"lva","1997",NA
"lva","1998",NA
"lva","1999",NA
"lva","2000",NA
"lva","2001",NA
