"country","year","out_mil_const"
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",1
NA,"2001",1
NA,"2002",1
NA,"2003",1
NA,"2004",1
NA,"2005",1
NA,"2006",1
NA,"2007",1
NA,"2008",118301
NA,"2009",115232
NA,"2010",122977
NA,"2011",145427
NA,"2012",141880
NA,"2013",134537
NA,"2014",131039
NA,"2015",141209
NA,"2016",147399
NA,"2017",157573
NA,"2018",168726
NA,"2019",182947
NA,"2020",192782
NA,"2021",223996
NA,"2022",NA
NA,"2023",NA
