"country","year","out_mil_elec"
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",1
NA,"2001",1
NA,"2002",1
NA,"2003",1
NA,"2004",1
NA,"2005",1
NA,"2006",1
NA,"2007",1
NA,"2008",221789
NA,"2009",213396
NA,"2010",235958
NA,"2011",252262
NA,"2012",264328
NA,"2013",285265
NA,"2014",289511
NA,"2015",292546
NA,"2016",293659
NA,"2017",308799
NA,2018,331514
NA,2019,338064
NA,2020,342092
NA,2021,413615
NA,2022,NA
NA,2023,NA
