"country","year","out_mil_total"
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",1
NA,"2001",1
NA,"2002",1
NA,"2003",1
NA,"2004",1
NA,"2005",1
NA,"2006",1
NA,"2007",1
NA,"2008",534494
NA,"2009",512110
NA,"2010",568711
NA,"2011",630259
NA,"2012",645049
NA,"2013",646890
NA,"2014",635947
NA,"2015",658409
NA,"2016",675746
NA,"2017",710121
NA,"2018",748118
NA,"2019",780980
NA,"2020",800016
NA,"2021",937354
NA,"2022",NA
NA,"2023",NA
