"country","year","total_ffuel_tax"
"arg","1990",NA
"arg","1991",NA
"arg","1992",NA
"arg","1993",NA
"arg","1994",NA
"arg","1995",NA
"arg","1996",NA
"arg","1997",NA
"arg","1998",NA
"arg","1999",NA
"arg","2000",NA
"arg","2001",NA
"arg","2002",NA
"arg","2003",NA
"arg","2004",NA
"arg","2005",NA
"arg","2006",NA
"arg","2007",NA
"arg","2008",NA
"arg","2009",NA
"arg","2010",4.06
"arg","2011",5.06
"arg","2012",5.21
"arg","2013",6.27
"arg","2014",6.87
"arg","2015",6.37
"arg","2016",7.04
"arg","2017",4.64
"arg","2018",4.17
"arg","2019",3.8
"arg","2020",4.55
"arg","2021",6.74
"arg","2022",NA
"arg","2023",NA
"arm","1990",NA
"arm","1991",NA
"arm","1992",NA
"arm","1993",NA
"arm","1994",NA
"arm","1995",NA
"arm","1996",NA
"arm","1997",NA
"arm","1998",NA
"arm","1999",NA
"arm","2000",NA
"arm","2001",NA
"arm","2002",NA
"arm","2003",NA
"arm","2004",NA
"arm","2005",NA
"arm","2006",NA
"arm","2007",NA
"arm","2008",NA
"arm","2009",NA
"arm","2010",1.47
"arm","2011",1.76
"arm","2012",1.86
"arm","2013",1.67
"arm","2014",1.6
"arm","2015",1.39
"arm","2016",0.95
"arm","2017",0.9
"arm","2018",0.16
"arm","2019",0.14
"arm","2020",0.41
"arm","2021",0.02
"arm","2022",NA
"arm","2023",NA
"aze","1990",NA
"aze","1991",NA
"aze","1992",NA
"aze","1993",NA
"aze","1994",NA
"aze","1995",NA
"aze","1996",NA
"aze","1997",NA
"aze","1998",NA
"aze","1999",NA
"aze","2000",NA
"aze","2001",NA
"aze","2002",NA
"aze","2003",NA
"aze","2004",NA
"aze","2005",NA
"aze","2006",NA
"aze","2007",NA
"aze","2008",NA
"aze","2009",NA
"aze","2010",1.14
"aze","2011",4.84
"aze","2012",1.67
"aze","2013",3.09
"aze","2014",0
"aze","2015",4.53
"aze","2016",17.95
"aze","2017",0
"aze","2018",11.91
"aze","2019",9.06
"aze","2020",1.63
"aze","2021",NA
"aze","2022",NA
"aze","2023",NA
"blr","1990",NA
"blr","1991",NA
"blr","1992",NA
"blr","1993",NA
"blr","1994",NA
"blr","1995",NA
"blr","1996",NA
"blr","1997",NA
"blr","1998",NA
"blr","1999",NA
"blr","2000",NA
"blr","2001",NA
"blr","2002",NA
"blr","2003",NA
"blr","2004",NA
"blr","2005",NA
"blr","2006",NA
"blr","2007",NA
