"country","year","total_fte_serv"
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",1
NA,"2001",1
NA,"2002",1
NA,"2003",1
NA,"2004",1
NA,"2005",1
NA,"2006",1
NA,"2007",1
NA,"2008",838000
NA,"2009",840000
NA,"2010",872000
NA,"2011",905000
NA,"2012",904000
NA,"2013",886000
NA,"2014",796000
NA,"2015",845000
NA,"2016",883000
NA,"2017",892000
NA,"2018",909000
NA,"2019",920000
NA,"2020",975000
NA,"2021",992000
NA,"2022",NA
NA,"2023",NA
