name,country,is--country
Afghanistan,afg,TRUE
Albania,alb,TRUE
Algeria,dza,TRUE
American Samoa,asm,TRUE
Andorra,and,TRUE
Angola,ago,TRUE
Anguilla,aia,TRUE
Antarctica,ata,TRUE
Antigua and Barbuda,atg,TRUE
Argentina,arg,TRUE
Armenia,arm,TRUE
Aruba,abw,TRUE
Australia,aus,TRUE
Australian Oceania,,TRUE
Austria,aut,TRUE
Azerbaijan,aze,TRUE
Bahamas,bhs,TRUE
Bahrain,bhr,TRUE
Bangladesh,bgd,TRUE
Barbados,brb,TRUE
Belarus,blr,TRUE
Belgium,bel,TRUE
Belgium and Luxembourg,,TRUE
Belize,blz,TRUE
Benin,ben,TRUE
Bermuda,bmu,TRUE
Bhutan,btn,TRUE
Bolivia,bol,TRUE
Bonaire Sint Eustatius and Saba,,TRUE
Bosnia and Herzegovina,bih,TRUE
Botswana,bwa,TRUE
Bouvet Island,bouisl,TRUE
Brazil,bra,TRUE
BRIICS economies - (Brazil; Russia; India; Indonesia; China and South Africa),briics,TRUE
British Indian Ocean Territory,iot,TRUE
British Virgin Islands,vgb,TRUE
Brunei,brn,TRUE
Bulgaria,bgr,TRUE
Bunkering and maintenance,,TRUE
Bunkering and maintenance in trade with third country,,TRUE
Bunkering and maintenance in trade within the EU,,TRUE
Burkina Faso,bfa,TRUE
Burundi,bdi,TRUE
Cabo Verde,cpv,TRUE
Cambodia,khm,TRUE
Cameroon,cmr,TRUE
Canada,can,TRUE
Canary Islands,,TRUE
Cayman Islands,cym,TRUE
Central African Republic,caf,TRUE
Ceuta,,TRUE
Chad,tcd,TRUE
Chile,chl,TRUE
China (People's Republic of),chn,TRUE
Christmas Island,cxr,TRUE
Cocos Islands,,TRUE
Colombia,col,TRUE
Comoros,com,TRUE
Congo,cog,TRUE
Cook Islands,,TRUE
Costa Rica,cri,TRUE
Côte d'Ivoire,civ,TRUE
Countries and terretories not specified for trade or defence reasons,,TRUE
Countries and terretories not specified for trade or defence reasons in trade with third country,,TRUE
Countries and terretories not specified for trade or defence reasons in trade within the EU,,TRUE
Croatia,hrv,TRUE
Cuba,cub,TRUE
Curaçao,nld_curacao,TRUE
Cyprus,cyp,TRUE
Czechia,cze,TRUE
Democratic Republic of the Congo,cod,TRUE
Denmark,dnk,TRUE
Djibouti,dji,TRUE
Dominica,dma,TRUE
Dominican Republic,dom,TRUE
East Timor,tls,TRUE
Ecuador,ecu,TRUE
Egypt,egy,TRUE
El Salvador,slv,TRUE
Equatorial Guinea,gnq,TRUE
Eritrea,eri,TRUE
Estonia,est,TRUE
Eswatini,swz,TRUE
Ethiopia,eth,TRUE
EU27,eu,TRUE
Euro area (19 countries),euro,TRUE
European Union – 27 countries (from 01/02/2020),eu,TRUE
European Union - 27 countries (from 2020),eu,TRUE
European Union (28 countries),eu,TRUE
Falkland Islands,flk,TRUE
Faroe Islands,fro,TRUE
Fiji,fji,TRUE
Finland,fin,TRUE
France,fra,TRUE
French Guiana,guf,TRUE
French Polynesia,pyf,TRUE
French Southern and Antarctic Lands,fra_antarc,TRUE
G7,g7,TRUE
Gabon,gab,TRUE
Gambia,gmb,TRUE
Georgia,geo,TRUE
Germany,deu,TRUE
Ghana,gha,TRUE
Gibraltar,gib,TRUE
Greece,grc,TRUE
Greenland,grl,TRUE
Grenada,grd,TRUE
Guadeloupe,glp,TRUE
Guam,gum,TRUE
Guatemala,gtm,TRUE
Guinea,gin,TRUE
Guinea-Bissau,gnb,TRUE
Guyana,guy,TRUE
Haiti,hti,TRUE
Heard and McDonald Islands,heard_a_mcd,TRUE
Honduras,hnd,TRUE
Hongkong,hkg,TRUE
Hungary,hun,TRUE
Iceland,isl,TRUE
India,ind,TRUE
Indonesia,idn,TRUE
Iran,irn,TRUE
Iraq,irq,TRUE
Ireland,irl,TRUE
Israel,isr,TRUE
Italy,ita,TRUE
Jamaica,jam,TRUE
Japan,jpn,TRUE
Jordan,jor,TRUE
Kazakhstan,kaz,TRUE
Kenya,ken,TRUE
Kiribati,kir,TRUE
Korea,,TRUE
Kosovo,kos,TRUE
Kuwait,kwt,TRUE
Kyrgyzstan,kgz,TRUE
Laos,lao,TRUE
Latvia,lva,TRUE
Lebanon,lbn,TRUE
Lesotho,lso,TRUE
Liberia,lbr,TRUE
Libya,lby,TRUE
Liechtenstein,lie,TRUE
Lithuania,ltu,TRUE
Luxembourg,lux,TRUE
Macau,,TRUE
Madagascar,mdg,TRUE
Malawi,mwi,TRUE
Malaysia,mys,TRUE
Maldives,mdv,TRUE
Mali,mli,TRUE
Malta,mlt,TRUE
Marshall Islands,mhl,TRUE
Martinique,mtq,TRUE
Mauritania,mrt,TRUE
Mauritius,mus,TRUE
Mayotte,myt,TRUE
Melilla,,TRUE
Mexico,mex,TRUE
Micronesia,fsm,TRUE
Moldova,mda,TRUE
Monaco,mco,TRUE
Mongolia,mng,TRUE
Montenegro,mne,TRUE
Montserrat,msr,TRUE
Morocco,mar,TRUE
Mozambique,moz,TRUE
Myanmar,mmr,TRUE
Namibia,nam,TRUE
Nauru,nru,TRUE
Nepal,npl,TRUE
Netherlands,nld,TRUE
Netherlands Antilles,ant,TRUE
New Caledonia,ncl,TRUE
New Zealand,nzl,TRUE
New Zealand Oceania,,TRUE
Nicaragua,nic,TRUE
Niger,ner,TRUE
Nigeria,nga,TRUE
Niue,niu,TRUE
Norfolk Island,nfk,TRUE
North Korea,prk,TRUE
North Macedonia,mkd,TRUE
Northern Mariana Islands,mnp,TRUE
Norway,nor,TRUE
OECD - Europe,oecd,TRUE
OECD - Total,oecd,TRUE
OECD America,oecd,TRUE
OECD Asia Oceania,oecd,Asia & TRUE
Oman,omn,TRUE
Pakistan,pak,TRUE
Palau,plw,TRUE
Palestine,pse,TRUE
Panama,pan,TRUE
Papua New Guinea,png,TRUE
Paraguay,pry,TRUE
Peru,per,TRUE
Philippines,phl,TRUE
Pitcairn Islands,pcn,TRUE
Poland,pol,TRUE
Polar Regions,,TRUE
Portugal,prt,TRUE
Puerto Rico,pri,TRUE
Qatar,qat,TRUE
Reunion,reu,TRUE
Romania,rou,TRUE
Russia,rus,Europe & TRUE
Rwanda,rwa,TRUE
Saint Kitts and Nevis,kna,TRUE
Saint Lucia,lca,TRUE
Saint Vincent and the Grenadines,vct,TRUE
Saint-Barthélemy,stbar,TRUE
Saint-Pierre-et-Miquelon,spm,TRUE
Samoa,wsm,TRUE
San Marino,smr,TRUE
Sankt Helena; Ascension and Tristan da Cunha,shn,TRUE
Sao Tome and Principe,stp,TRUE
Saudi Arabia,sau,TRUE
Senegal,sen,TRUE
Serbia,srb,TRUE
Serbia and Montenegro,scg,TRUE
Seychelles,syc,TRUE
Sierra Leone,sle,TRUE
Singapore,sgp,TRUE
Sint-Maarten,maf,TRUE
Slovakia,svk,TRUE
Slovenia,svn,TRUE
Solomon Islands,slb,TRUE
Somalia,som,TRUE
South Africa,zaf,TRUE
South Georgia and the South Sandwich Islands,sgero_a_ssandw,TRUE
South Korea,kor,TRUE
South Sudan,ssd,TRUE
Spain,esp,TRUE
Sri Lanka,lka,TRUE
Sudan,sdn,TRUE
Suriname,sur,TRUE
Sweden,swe,TRUE
Switzerland,che,TRUE
Syrian Arab Republic,syr,TRUE
Taiwan (province of China),twn,TRUE
Tajikistan,tjk,TRUE
Tanzania,tza,TRUE
Thailand,tha,TRUE
The High Seas,,TRUE
Togo,tgo,TRUE
Tokelau,tkl,TRUE
Tonga,ton,TRUE
Trinidad and Tobago,tto,TRUE
Tunisia,tun,TRUE
Turkmenistan,tkm,TRUE
Turks and Caicos Islands,tca,TRUE
Tuvalu,tuv,TRUE
Türkiye,tur,TRUE
Uganda,uga,TRUE
Ukraine,ukr,TRUE
United Arab Emirates,are,TRUE
United Kingdom,gbr,TRUE
United States,usa,TRUE
United States Minor Outlying Islands,usa_minor_out_isl,TRUE
United States Oceania,,TRUE
United States Virgin Islands,vir,TRUE
Unspecified countries and territories,,TRUE
Unspecified countries and territories in trade with third country,,TRUE
Unspecified countries and territories in trade within the EU,,TRUE
Uruguay,ury,TRUE
Uzbekistan,uzb,TRUE
Vanuatu,vut,TRUE
Vatican City State,,TRUE
Venezuela,ven,TRUE
Viet Nam,vnm,TRUE
Wallis and Futuna,wlf,TRUE
West Bank/Gaza Strip,,TRUE
Western Sahara,esh,TRUE
World,,TRUE
Yemen,yem,TRUE
Zambia,zmb,TRUE
Zimbabwe,zwe,TRUE
